Item #,Length,Item Name,XML NAACCR ID,PARENT XML ELEMENT,Format,Allowable Values,Note,Section
3831,1,Extranodal Extension Head and Neck Clinical,extranodalExtensionHeadNeckClin,Tumor,,"0-2, 4, 7-9",Revised,Stage/Prognostic Factors
3836,5,FIGO Stage,figoStage,Tumor,Left justified,Valid alphanumeric codes; added value for FIGO Stage IB3,Revised,Stage/Prognostic Factors
3845,1,Grade Post Therapy Path (yp),gradePostTherapy,Tumor,,"1-5, 8, 9, A, B, C, D, E, L, H, M, S, Blank",Revised,Stage/Prognostic Factors
3847,1,hCG Post-Orchiectomy Range,hcgPostOrchiectomyRange,Tumor,,"0-5, 7-9",Revised,Stage/Prognostic Factors
3863,5,Ki-67,ki67,Tumor,Right justified,"0.0-100.0, XXX.4, XXX.5, XXX.6, XXX.7, XXX.8, XXX.9",Revised,Stage/Prognostic Factors
3932,7,LDH Lab Value,ldhPretreatmentLabValue,Tumor,Right justified,"0.0, 0.1-99999.9, XXXXX.1, XXXXX.7, XXXXX.8, XXXXX.9",Revised,Stage/Prognostic Factors
3869,1,LDH Level,ldhPretreatmentLevel,Tumor,,"0, 1, 7, 9",Revised,Stage/Prognostic Factors
3867,1,LDH Post-Orchiectomy Range,ldhPostOrchiectomyRange,Tumor,,"0-5, 7-9",Revised,Stage/Prognostic Factors
3914,3,Progesterone Receptor Percent Positive or Range,progesteroneRecepPrcntPosOrRange,Tumor,,"000, 001-100, R10, R20, R30, R40, R50, R60, R70, R80, R90, R99, XX7, XX8, XX9",Revised,Stage/Prognostic Factors
3921,2,Residual Tumor Volume Post Cytoreduction,residualTumVolPostCytoreduction,Tumor,,"00, 50, 60, 70, 80, 97-99",Revised,Stage/Prognostic Factors
3924,1,S Category Pathological,sCategoryPathological,Tumor,,"0-3, 5, 9",Revised,Stage/Prognostic Factors
3937,1,Visceral and Parietal Pleural Invasion,visceralParietalPleuralInvasion,Tumor,,"0, 4-6, 8, 9",Revised,Stage/Prognostic Factors
