NAACCR XML ID,NAACCR Number,Name,Start Column,Length,Record Types,Parent XML Element,Data Type
csSiteSpecificFactor2,2890,"CS Site-Specific Factor 2",1319,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor20,2874,"CS Site-Specific Factor20",1373,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor21,2875,"CS Site-Specific Factor21",1376,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor22,2876,"CS Site-Specific Factor22",1379,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor23,2877,"CS Site-Specific Factor23",1382,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor24,2878,"CS Site-Specific Factor24",1385,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor25,2879,"CS Site-Specific Factor25",1388,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor3,2900,"CS Site-Specific Factor 3",1322,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor4,2910,"CS Site-Specific Factor 4",1325,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor5,2920,"CS Site-Specific Factor 5",1328,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor6,2930,"CS Site-Specific Factor 6",1331,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor7,2861,"CS Site-Specific Factor 7",1334,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor8,2862,"CS Site-Specific Factor 8",1337,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor9,2863,"CS Site-Specific Factor 9",1340,3,"A,M,C,I",Tumor,digits
csTumorSize,2800,"CS Tumor Size",1298,3,"A,M,C,I",Tumor,digits
csTumorSizeExtEval,2820,"CS Tumor Size/Ext Eval",1304,1,"A,M,C,I",Tumor,digits
csVersionDerived,2936,"CS Version Derived",1514,6,"A,M,C,I",Tumor,text
csVersionInputCurrent,2937,"CS Version Input Current",1502,6,"A,M,C,I",Tumor,digits
csVersionInputOriginal,2935,"CS Version Input Original",1508,6,"A,M,C,I",Tumor,digits
date1stCrsRxCoc,1270,"Date 1st Crs RX CoC",2104,8,"A,M,C,I",Tumor,date
date1stCrsRxCocFlag,1271,"Date 1st Crs RX CoC Flag",2112,2,"A,M,C,I",Tumor,digits
dateCaseCompleted,2090,"Date Case Completed",2648,8,"A,M,C,I",Tumor,date
dateCaseCompletedCoc,2092,"Date Case Completed--CoC",2656,8,"A,M,C,I",Tumor,date
dateCaseInitiated,2085,"Date Case Initiated",2640,8,"A,M,C,I",Tumor,date
dateCaseLastChanged,2100,"Date Case Last Changed",2664,8,"A,M,C,I",Tumor,date
dateCaseReportExported,2110,"Date Case Report Exported",2672,8,"A,M,C,I",Tumor,date
dateCaseReportLoaded,2112,"Date Case Report Loaded",2688,8,"A,M,C,I",Tumor,date
dateCaseReportReceived,2111,"Date Case Report Received",2680,8,"A,M,C,I",Tumor,date
dateConclusiveDx,443,"Date Conclusive DX",581,8,"A,M,C,I",Tumor,date
dateConclusiveDxFlag,448,"Date Conclusive DX Flag",589,2,"A,M,C,I",Tumor,digits
dateInitialRxSeer,1260,"Date Initial RX SEER",2094,8,"A,M,C,I",Tumor,date
dateInitialRxSeerFlag,1261,"Date Initial RX SEER Flag",2102,2,"A,M,C,I",Tumor,digits
dateOf1stContact,580,"Date of 1st Contact",759,8,"A,M,C,I",Tumor,date
dateOf1stContactFlag,581,"Date of 1st Contact Flag",767,2,"A,M,C,I",Tumor,digits
dateOfBirth,240,"Date of Birth",226,8,"A,M,C,I",Patient,date
dateOfBirthFlag,241,"Date of Birth Flag",234,2,"A,M,C,I",Patient,digits
dateOfDeathCanada,1755,"Date of Death--Canada",2953,8,"A,M,C,I",Patient,date
dateOfDeathCanadaFlag,1756,"Date of Death--CanadaFlag",2961,2,"A,M,C,I",Patient,digits
dateOfDiagnosis,390,"Date of Diagnosis",544,8,"A,M,C,I",Tumor,date
dateOfDiagnosisFlag,391,"Date of Diagnosis Flag",552,2,"A,M,C,I",Tumor,digits
dateOfInptAdm,590,"Date of Inpt Adm",769,8,"A,M,C,I",Tumor,date
dateOfInptAdmFlag,591,"Date of Inpt Adm Flag",777,2,"A,M,C,I",Tumor,digits
dateOfInptDisch,600,"Date of Inpt Disch",779,8,"A,M,C,I",Tumor,date
dateOfInptDischFlag,601,"Date of Inpt Disch Flag",787,2,"A,M,C,I",Tumor,digits
dateOfLastCancerStatus,1772,"Date of Last Cancer (tumor) Status",2788,8,"A,M,C,I",Tumor,date
dateOfLastCancerStatusFlag,1773,"Date of Last Cancer (tumor) Status Flag",2796,2,"A,M,C,I",Tumor,digits
dateOfLastContact,1750,"Date of Last Contact",2775,8,"A,M,C,I",Patient,date
dateOfLastContactFlag,1751,"Date of Last Contact Flag",2783,2,"A,M,C,I",Patient,digits
dateOfMultTumors,445,"Date of Mult Tumors",593,8,"A,M,C,I",Tumor,date
dateOfMultTumorsFlag,439,"Date of Mult Tumors Flag",601,2,"A,M,C,I",Tumor,digits
dateRegionalLNDissection,682,"Date Regional Lymph Node Dissection",1002,8,"A,M,C,I",Tumor,date
dateRegionalLNDissectionFlag,683,"Date Regional Lymph Node Dissection Flag",1010,2,"A,M,C,I",Tumor,digits
dateSentinelLymphNodeBiopsy,832,"Date of Sentinel Lymph Node Biopsy",1016,8,"A,M,C,I",Tumor,date
dateSentinelLymphNodeBiopsyFlag,833,"Date of Sentinel Lymph Node Biopsy Flag",1024,2,"A,M,C,I",Tumor,digits
dateTumorRecordAvailbl,2113,"Date Tumor Record Availbl",2696,8,"A,M,C,I",Tumor,date
dcStateFileNumber,2380,"DC State File Number",4598,6,"A,M,C",Patient,text
derivedAjcc6M,2980,"Derived AJCC-6 M",1397,2,"A,M,C,I",Tumor,digits
derivedAjcc6MDescript,2990,"Derived AJCC-6 M Descript",1399,1,"A,M,C,I",Tumor,text
derivedAjcc6N,2960,"Derived AJCC-6 N",1394,2,"A,M,C,I",Tumor,digits
derivedAjcc6NDescript,2970,"Derived AJCC-6 N Descript",1396,1,"A,M,C,I",Tumor,text
derivedAjcc6StageGrp,3000,"Derived AJCC-6 Stage Grp",1400,2,"A,M,C,I",Tumor,digits
derivedAjcc6T,2940,"Derived AJCC-6 T",1391,2,"A,M,C,I",Tumor,digits
derivedAjcc6TDescript,2950,"Derived AJCC-6 T Descript",1393,1,"A,M,C,I",Tumor,text
derivedAjcc7M,3420,"Derived AJCC-7 M",1410,3,"A,M,C,I",Tumor,digits
derivedAjcc7MDescript,3422,"Derived AJCC-7 M Descript",1413,1,"A,M,C,I",Tumor,text
derivedAjcc7N,3410,"Derived AJCC-7 N",1406,3,"A,M,C,I",Tumor,digits
derivedAjcc7NDescript,3412,"Derived AJCC-7 N Descript",1409,1,"A,M,C,I",Tumor,text
derivedAjcc7StageGrp,3430,"Derived AJCC-7 Stage Grp",1414,3,"A,M,C,I",Tumor,digits
derivedAjcc7T,3400,"Derived AJCC-7 T",1402,3,"A,M,C,I",Tumor,digits
derivedAjcc7TDescript,3402,"Derived AJCC-7 T Descript",1405,1,"A,M,C,I",Tumor,text
derivedAjccFlag,3030,"Derived AJCC--Flag",1446,1,"A,M,C,I",Tumor,digits
derivedEod2018M,795,"Derived EOD 2018 M",956,15,"A,M,C,I",Tumor,text
derivedEod2018N,815,"Derived EOD 2018 N",941,15,"A,M,C,I",Tumor,text
derivedEod2018StageGroup,818,"Derived EOD 2018 Stage Group",971,15,"A,M,C,I",Tumor,text
derivedEod2018T,785,"Derived EOD 2018 T",926,15,"A,M,C,I",Tumor,text
derivedNeoadjuvRxFlag,3600,"Derived Neoadjuv Rx Flag",1445,1,"A,M,C,I",Tumor,digits
derivedPostrx7M,3490,"Derived PostRx-7 M",1438,2,"A,M,C,I",Tumor,digits
derivedPostrx7N,3482,"Derived PostRx-7 N",1435,3,"A,M,C,I",Tumor,digits
derivedPostrx7StgeGrp,3492,"Derived PostRx-7 Stge Grp",1440,3,"A,M,C,I",Tumor,digits
derivedPostrx7T,3480,"Derived PostRx-7 T",1432,3,"A,M,C,I",Tumor,digits
derivedPrerx7M,3460,"Derived PreRx-7 M",1425,3,"A,M,C,I",Tumor,digits
derivedPrerx7MDescrip,3462,"Derived PreRx-7 M Descrip",1428,1,"A,M,C,I",Tumor,text
derivedPrerx7N,3450,"Derived PreRx-7 N",1421,3,"A,M,C,I",Tumor,digits
derivedPrerx7NDescrip,3452,"Derived PreRx-7 N Descrip",1424,1,"A,M,C,I",Tumor,text
derivedPrerx7StageGrp,3470,"Derived PreRx-7 Stage Grp",1429,3,"A,M,C,I",Tumor,digits
derivedPrerx7T,3440,"Derived PreRx-7 T",1417,3,"A,M,C,I",Tumor,digits
derivedPrerx7TDescrip,3442,"Derived PreRx-7 T Descrip",1420,1,"A,M,C,I",Tumor,text
derivedSeerClinStgGrp,3610,"Derived SEER Clin Stg Grp",890,5,"A,M,C,I",Tumor,text
derivedSeerCmbMSrc,3626,"Derived SEER Cmb M Src",917,1,"A,M,C,I",Tumor,digits
derivedSeerCmbNSrc,3624,"Derived SEER Cmb N Src",916,1,"A,M,C,I",Tumor,digits
derivedSeerCmbStgGrp,3614,"Derived SEER Cmb Stg Grp",895,5,"A,M,C,I",Tumor,text
derivedSeerCmbTSrc,3622,"Derived SEER Cmb T Src",915,1,"A,M,C,I",Tumor,digits
derivedSeerCombinedM,3620,"Derived SEER Combined M",910,5,"A,M,C,I",Tumor,text
derivedSeerCombinedN,3618,"Derived SEER Combined N",905,5,"A,M,C,I",Tumor,text
derivedSeerCombinedT,3616,"Derived SEER Combined T",900,5,"A,M,C,I",Tumor,text
derivedSeerPathStgGrp,3605,"Derived SEER Path Stg Grp",885,5,"A,M,C,I",Tumor,text
derivedSs1977,3010,"Derived SS1977",1443,1,"A,M,C,I",Tumor,digits
derivedSs1977Flag,3040,"Derived SS1977--Flag",1447,1,"A,M,C,I",Tumor,digits
derivedSs2000,3020,"Derived SS2000",1444,1,"A,M,C,I",Tumor,digits
derivedSs2000Flag,3050,"Derived SS2000--Flag",1448,1,"A,M,C,I",Tumor,digits
derivedSummaryStage2018,762,"Derived Summary Stage 2018",986,1,"A,M,C,I",Tumor,digits
diagnosticConfirmation,490,"Diagnostic Confirmation",576,1,"A,M,C,I",Tumor,digits
diagnosticProc7387,2200,"Diagnostic Proc 73-87",2638,2,"A,M,C,I",Tumor,text
ehrReporting,2508,"EHR Reporting",5105,1000,"A,M,C",Tumor,text
eodExtension,790,"EOD--Extension",993,2,"A,M,C,I",Tumor,digits
eodExtensionProstPath,800,"EOD--Extension Prost Path",995,2,"A,M,C,I",Tumor,digits
eodLymphNodeInvolv,810,"EOD--Lymph Node Involv",997,1,"A,M,C,I",Tumor,text
eodMets,776,"EOD Mets",924,2,"A,M,C,I",Tumor,text
eodOld13Digit,840,"EOD--Old 13 Digit",1026,13,"A,M,C,I",Tumor,text
eodOld2Digit,850,"EOD--Old 2 Digit",1039,2,"A,M,C,I",Tumor,text
eodOld4Digit,860,"EOD--Old 4 Digit",1041,4,"A,M,C,I",Tumor,text
eodPrimaryTumor,772,"EOD Primary Tumor",918,3,"A,M,C,I",Tumor,text
eodRegionalNodes,774,"EOD Regional Nodes",921,3,"A,M,C,I",Tumor,text
eodTumorSize,780,"EOD--Tumor Size",990,3,"A,M,C,I",Tumor,digits
esophagusAndEgjTumorEpicenter,3829,"Esophagus and EGJ Tumor Epicenter",1814,1,"A,M,C,I",Tumor,digits
estrogenReceptorPercntPosOrRange,3826,"Estrogen Receptor Percent Positive or Range",1752,3,"A,M,C,I",Tumor,text
estrogenReceptorSummary,3827,"Estrogen Receptor Summary",1743,1,"A,M,C,I",Tumor,digits
estrogenReceptorTotalAllredScore,3828,"Estrogen Receptor Total Allred Score",1755,2,"A,M,C,I",Tumor,text
extranodalExtensionClin,3830,"Extranodal Extension Clin (non-Head and Neck)",1922,1,"A,M,C,I",Tumor,digits
extranodalExtensionHeadNeckClin,3831,"Extranodal Extension Head and Neck Clinical",1818,1,"A,M,C,I",Tumor,digits
extranodalExtensionHeadNeckPath,3832,"Extranodal Extension Head and Neck Pathological",1819,3,"A,M,C,I",Tumor,text
extranodalExtensionPath,3833,"Extranodal Extension Path (non-Head and Neck)",1923,1,"A,M,C,I",Tumor,digits
extravascularMatrixPatterns,3834,"Extravascular Matrix Patterns",1876,1,"A,M,C,I",Tumor,digits
fibrosisScore,3835,"Fibrosis Score",1862,1,"A,M,C,I",Tumor,digits
figoStage,3836,"FIGO Stage",1816,2,"A,M,C,I",Tumor,digits
followUpContactCity,1842,"Follow-Up Contact--City",2879,50,"A,M,C,I",Tumor,text
followUpContactName,2394,"Follow-Up Contact--Name",4604,60,"A,M,C",Tumor,text
followUpContactNost,2392,"Follow-Up Contact--No&St",4664,60,"A,M,C",Tumor,text
followUpContactPostal,1846,"Follow-Up Contact--Postal",2931,9,"A,M,C,I",Tumor,text
followUpContactState,1844,"Follow-Up Contact--State",2929,2,"A,M,C,I",Tumor,alpha
followUpContactSuppl,2393,"Follow-Up Contact--Suppl",4724,60,"A,M,C",Tumor,text
followUpSource,1790,"Follow-Up Source",2801,1,"A,M,C,I",Tumor,digits
followUpSourceCentral,1791,"Follow-up Source Central",2951,2,"A,M,C,I",Tumor,digits
followingRegistry,2440,"Following Registry",4915,10,"A,M,C",Tumor,digits
followupContactCountry,1847,"FollowUp Contact--Country",475,3,"A,M,C,I",Tumor,alpha
gestationalTrophoblasticPxIndex,3837,"Gestational Trophoblastic Prognostic Scoring Index",1924,2,"A,M,C,I",Tumor,text
gisCoordinateQuality,366,"GIS Coordinate Quality",452,2,"A,M,C,I",Tumor,digits
gleasonPatternsClinical,3838,"Gleason Patterns Clinical",1927,2,"A,M,C,I",Tumor,text
gleasonPatternsPathological,3839,"Gleason Patterns Pathological",1929,2,"A,M,C,I",Tumor,text
gleasonScoreClinical,3840,"Gleason Score Clinical",1931,2,"A,M,C,I",Tumor,text
gleasonScorePathological,3841,"Gleason Score Pathological",1933,2,"A,M,C,I",Tumor,text
gleasonTertiaryPattern,3842,"Gleason Tertiary Pattern",1935,2,"A,M,C,I",Tumor,text
grade,440,"Grade",569,1,"A,M,C,I",Tumor,digits
gradeClinical,3843,"Grade Clinical",1286,1,"A,M,C,I",Tumor,text
gradeIcdO1,1973,"Grade (73-91) ICD-O-1",2605,1,"A,M,C,I",Tumor,digits
gradePathSystem,449,"Grade Path System",571,1,"A,M,C,I",Tumor,digits
gradePathValue,441,"Grade Path Value",570,1,"A,M,C,I",Tumor,digits
gradePathological,3844,"Grade Pathological",1287,1,"A,M,C,I",Tumor,text
gradePostTherapy,3845,"Grade Post Therapy",1288,1,"A,M,C,I",Tumor,text
