Item Number,Item Name,Item Start column,Item Length,Record Types,NAACCR XML ID,NAACCR XML Parent Element
240,"Date of Birth",196,8,"A,M,C,I",dateOfBirth,Patient
241,"Date of Birth Flag",204,2,"A,M,C,I",dateOfBirthFlag,Patient
250,"Birthplace",206,3,"A,M,C,I",birthplace,Patient
270,"Census Occ Code 1970-2000",209,3,"A,M,C,I",censusOccCode19702000,Tumor
280,"Census Ind Code 1970-2000",212,3,"A,M,C,I",censusIndCode19702000,Tumor
290,"Occupation Source",215,1,"A,M,C,I",occupationSource,Tumor
300,"Industry Source",216,1,"A,M,C,I",industrySource,Tumor
310,"Text--Usual Occupation",217,100,"A,M,C,I",textUsualOccupation,Tumor
320,"Text--Usual Industry",317,100,"A,M,C,I",textUsualIndustry,Tumor
330,"Census Occ/Ind Sys 70-00",417,1,"A,M,C,I",censusOccIndSys7000,Tumor
191,"NHIA Derived Hisp Origin",418,1,"A,M,C,I",nhiaDerivedHispOrigin,Patient
193,"Race--NAPIIA(derived API)",419,2,"A,M,C,I",raceNapiia,Patient
192,"IHS Link",421,1,"A,M,C,I",ihsLink,Patient
366,"GIS Coordinate Quality",422,2,"A,M,C,I",gisCoordinateQuality,Tumor
3300,"RuralUrban Continuum 1993",424,2,"A,M,C,I",ruralurbanContinuum1993,Tumor
3310,"RuralUrban Continuum 2003",426,2,"A,M,C,I",ruralurbanContinuum2003,Tumor
135,"Census Tract 2010",428,6,"A,M,C,I",censusTract2010,Tumor
363,"Census Block Group 2010",434,1,"A,M,C,I",censusBlockGroup2010,Tumor
367,"Census Tr Certainty 2010",435,1,"A,M,C,I",censusTrCertainty2010,Tumor
102,"Addr at DX--Country",436,3,"A,M,C,I",addrAtDxCountry,Tumor
1832,"Addr Current--Country",439,3,"A,M,C,I",addrCurrentCountry,Patient
252,"Birthplace--State",442,2,"A,M,C,I",birthplaceState,Patient
254,"Birthplace--Country",444,3,"A,M,C,I",birthplaceCountry,Patient
1847,"FollowUp Contact--Country",447,3,"A,M,C,I",followupContactCountry,Tumor
1942,"Place of Death--State",450,2,"A,M,C,I",placeOfDeathState,Patient
1944,"Place of Death--Country",452,3,"A,M,C,I",placeOfDeathCountry,Patient
272,"Census Ind Code 2010",455,4,"A,M,C,I",censusIndCode2010,Tumor
282,"Census Occ Code 2010",459,4,"A,M,C,I",censusOccCode2010,Tumor
145,"Census Tr Poverty Indictr",463,1,"A,M,C,I",censusTrPovertyIndictr,Tumor
530,"Reserved 02",464,64,"A,M,C,I",reserved02,Tumor
380,"Sequence Number--Central",528,2,"A,M,C,I",sequenceNumberCentral,Tumor
390,"Date of Diagnosis",530,8,"A,M,C,I",dateOfDiagnosis,Tumor
391,"Date of Diagnosis Flag",538,2,"A,M,C,I",dateOfDiagnosisFlag,Tumor
400,"Primary Site",540,4,"A,M,C,I",primarySite,Tumor
410,"Laterality",544,1,"A,M,C,I",laterality,Tumor
420,"Histology (92-00) ICD-O-2",545,4,"A,M,C,I",histologyIcdO2,Tumor
430,"Behavior (92-00) ICD-O-2",549,1,"A,M,C,I",behaviorIcdO2,Tumor
522,"Histologic Type ICD-O-3",550,4,"A,M,C,I",histologicTypeIcdO3,Tumor
523,"Behavior Code ICD-O-3",554,1,"A,M,C,I",behaviorCodeIcdO3,Tumor
440,"Grade",555,1,"A,M,C,I",grade,Tumor
441,"Grade Path Value",556,1,"A,M,C,I",gradePathValue,Tumor
449,"Grade Path System",557,1,"A,M,C,I",gradePathSystem,Tumor
450,"Site Coding Sys--Current",558,1,"A,M,C,I",siteCodingSysCurrent,Tumor
460,"Site Coding Sys--Original",559,1,"A,M,C,I",siteCodingSysOriginal,Tumor
470,"Morph Coding Sys--Current",560,1,"A,M,C,I",morphCodingSysCurrent,Tumor
480,"Morph Coding Sys--Originl",561,1,"A,M,C,I",morphCodingSysOriginl,Tumor
490,"Diagnostic Confirmation",562,1,"A,M,C,I",diagnosticConfirmation,Tumor
500,"Type of Reporting Source",563,1,"A,M,C,I",typeOfReportingSource,Tumor
501,"Casefinding Source",564,2,"A,M,C,I",casefindingSource,Tumor
442,"Ambiguous Terminology DX",566,1,"A,M,C,I",ambiguousTerminologyDx,Tumor
443,"Date Conclusive DX",567,8,"A,M,C,I",dateConclusiveDx,Tumor
448,"Date Conclusive DX Flag",575,2,"A,M,C,I",dateConclusiveDxFlag,Tumor
444,"Mult Tum Rpt as One Prim",577,2,"A,M,C,I",multTumRptAsOnePrim,Tumor
445,"Date of Mult Tumors",579,8,"A,M,C,I",dateOfMultTumors,Tumor
439,"Date of Mult Tumors Flag",587,2,"A,M,C,I",dateOfMultTumorsFlag,Tumor
446,"Multiplicity Counter",589,2,"A,M,C,I",multiplicityCounter,Tumor
680,"Reserved 03",591,100,"A,M,C,I",reserved03,Tumor
545,"NPI--Reporting Facility",691,10,"A,M,C,I",npiReportingFacility,Tumor
540,"Reporting Facility",701,10,"A,M,C,I",reportingFacility,Tumor
3105,"NPI--Archive FIN",711,10,"A,M,C,I",npiArchiveFin,Tumor
3100,"Archive FIN",721,10,"A,M,C,I",archiveFin,Tumor
550,"Accession Number--Hosp",731,9,"A,M,C,I",accessionNumberHosp,Tumor
560,"Sequence Number--Hospital",740,2,"A,M,C,I",sequenceNumberHospital,Tumor
570,"Abstracted By",742,3,"A,M,C,I",abstractedBy,Tumor
580,"Date of 1st Contact",745,8,"A,M,C,I",dateOf1stContact,Tumor
581,"Date of 1st Contact Flag",753,2,"A,M,C,I",dateOf1stContactFlag,Tumor
590,"Date of Inpt Adm",755,8,"A,M,C,I",dateOfInptAdm,Tumor
591,"Date of Inpt Adm Flag",763,2,"A,M,C,I",dateOfInptAdmFlag,Tumor
600,"Date of Inpt Disch",765,8,"A,M,C,I",dateOfInptDisch,Tumor
601,"Date of Inpt Disch Flag",773,2,"A,M,C,I",dateOfInptDischFlag,Tumor
605,"Inpatient Status",775,1,"A,M,C,I",inpatientStatus,Tumor
610,"Class of Case",776,2,"A,M,C,I",classOfCase,Tumor
630,"Primary Payer at DX",778,2,"A,M,C,I",primaryPayerAtDx,Tumor
2400,"Reserved 15",780,1,"A,M,C,I",reserved15,Tumor
668,"RX Hosp--Surg App 2010",781,1,"A,M,C,I",rxHospSurgApp2010,Tumor
670,"RX Hosp--Surg Prim Site",782,2,"A,M,C,I",rxHospSurgPrimSite,Tumor
672,"RX Hosp--Scope Reg LN Sur",784,1,"A,M,C,I",rxHospScopeRegLnSur,Tumor
674,"RX Hosp--Surg Oth Reg/Dis",785,1,"A,M,C,I",rxHospSurgOthRegDis,Tumor
676,"RX Hosp--Reg LN Removed",786,2,"A,M,C,I",rxHospRegLnRemoved,Tumor
2450,"Reserved 16",788,1,"A,M,C,I",reserved16,Tumor
690,"RX Hosp--Radiation",789,1,"A,M,C,I",rxHospRadiation,Tumor
700,"RX Hosp--Chemo",790,2,"A,M,C,I",rxHospChemo,Tumor
710,"RX Hosp--Hormone",792,2,"A,M,C,I",rxHospHormone,Tumor
720,"RX Hosp--BRM",794,2,"A,M,C,I",rxHospBrm,Tumor
730,"RX Hosp--Other",796,1,"A,M,C,I",rxHospOther,Tumor
740,"RX Hosp--DX/Stg Proc",797,2,"A,M,C,I",rxHospDxStgProc,Tumor
3280,"RX Hosp--Palliative Proc",799,1,"A,M,C,I",rxHospPalliativeProc,Tumor
746,"RX Hosp--Surg Site 98-02",800,2,"A,M,C,I",rxHospSurgSite9802,Tumor
747,"RX Hosp--Scope Reg 98-02",802,1,"A,M,C,I",rxHospScopeReg9802,Tumor
748,"RX Hosp--Surg Oth 98-02",803,1,"A,M,C,I",rxHospSurgOth9802,Tumor
750,"Reserved 04",804,100,"A,M,C,I",reserved04,Tumor
759,"SEER Summary Stage 2000",904,1,"A,M,C,I",seerSummaryStage2000,Tumor
760,"SEER Summary Stage 1977",905,1,"A,M,C,I",seerSummaryStage1977,Tumor
780,"EOD--Tumor Size",906,3,"A,M,C,I",eodTumorSize,Tumor
790,"EOD--Extension",909,2,"A,M,C,I",eodExtension,Tumor
800,"EOD--Extension Prost Path",911,2,"A,M,C,I",eodExtensionProstPath,Tumor
810,"EOD--Lymph Node Involv",913,1,"A,M,C,I",eodLymphNodeInvolv,Tumor
820,"Regional Nodes Positive",914,2,"A,M,C,I",regionalNodesPositive,Tumor
830,"Regional Nodes Examined",916,2,"A,M,C,I",regionalNodesExamined,Tumor
840,"EOD--Old 13 Digit",918,13,"A,M,C,I",eodOld13Digit,Tumor
850,"EOD--Old 2 Digit",931,2,"A,M,C,I",eodOld2Digit,Tumor
860,"EOD--Old 4 Digit",933,4,"A,M,C,I",eodOld4Digit,Tumor
870,"Coding System for EOD",937,1,"A,M,C,I",codingSystemForEod,Tumor
1060,"TNM Edition Number",938,2,"A,M,C,I",tnmEditionNumber,Tumor
880,"TNM Path T",940,4,"A,M,C,I",tnmPathT,Tumor
890,"TNM Path N",944,4,"A,M,C,I",tnmPathN,Tumor
900,"TNM Path M",948,4,"A,M,C,I",tnmPathM,Tumor
910,"TNM Path Stage Group",952,4,"A,M,C,I",tnmPathStageGroup,Tumor
920,"TNM Path Descriptor",956,1,"A,M,C,I",tnmPathDescriptor,Tumor
930,"TNM Path Staged By",957,1,"A,M,C,I",tnmPathStagedBy,Tumor
940,"TNM Clin T",958,4,"A,M,C,I",tnmClinT,Tumor
950,"TNM Clin N",962,4,"A,M,C,I",tnmClinN,Tumor
960,"TNM Clin M",966,4,"A,M,C,I",tnmClinM,Tumor
970,"TNM Clin Stage Group",970,4,"A,M,C,I",tnmClinStageGroup,Tumor
980,"TNM Clin Descriptor",974,1,"A,M,C,I",tnmClinDescriptor,Tumor
990,"TNM Clin Staged By",975,1,"A,M,C,I",tnmClinStagedBy,Tumor
1120,"Pediatric Stage",976,2,"A,M,C,I",pediatricStage,Tumor
1130,"Pediatric Staging System",978,2,"A,M,C,I",pediatricStagingSystem,Tumor
1140,"Pediatric Staged By",980,1,"A,M,C,I",pediatricStagedBy,Tumor
1150,"Tumor Marker 1",981,1,"A,M,C,I",tumorMarker1,Tumor
1160,"Tumor Marker 2",982,1,"A,M,C,I",tumorMarker2,Tumor
1170,"Tumor Marker 3",983,1,"A,M,C,I",tumorMarker3,Tumor
1182,"Lymph-vascular Invasion",984,1,"A,M,C,I",lymphVascularInvasion,Tumor
2800,"CS Tumor Size",985,3,"A,M,C,I",csTumorSize,Tumor
2810,"CS Extension",988,3,"A,M,C,I",csExtension,Tumor
2820,"CS Tumor Size/Ext Eval",991,1,"A,M,C,I",csTumorSizeExtEval,Tumor
2830,"CS Lymph Nodes",992,3,"A,M,C,I",csLymphNodes,Tumor
2840,"CS Lymph Nodes Eval",995,1,"A,M,C,I",csLymphNodesEval,Tumor
2850,"CS Mets at DX",996,2,"A,M,C,I",csMetsAtDx,Tumor
2860,"CS Mets Eval",998,1,"A,M,C,I",csMetsEval,Tumor
2851,"CS Mets at Dx-Bone",999,1,"A,M,C,I",csMetsAtDxBone,Tumor
2852,"CS Mets at Dx-Brain",1000,1,"A,M,C,I",csMetsAtDxBrain,Tumor
2853,"CS Mets at Dx-Liver",1001,1,"A,M,C,I",csMetsAtDxLiver,Tumor
2854,"CS Mets at Dx-Lung",1002,1,"A,M,C,I",csMetsAtDxLung,Tumor
2880,"CS Site-Specific Factor 1",1003,3,"A,M,C,I",csSiteSpecificFactor1,Tumor
2890,"CS Site-Specific Factor 2",1006,3,"A,M,C,I",csSiteSpecificFactor2,Tumor
2900,"CS Site-Specific Factor 3",1009,3,"A,M,C,I",csSiteSpecificFactor3,Tumor
2910,"CS Site-Specific Factor 4",1012,3,"A,M,C,I",csSiteSpecificFactor4,Tumor
2920,"CS Site-Specific Factor 5",1015,3,"A,M,C,I",csSiteSpecificFactor5,Tumor
2930,"CS Site-Specific Factor 6",1018,3,"A,M,C,I",csSiteSpecificFactor6,Tumor
2861,"CS Site-Specific Factor 7",1021,3,"A,M,C,I",csSiteSpecificFactor7,Tumor
2862,"CS Site-Specific Factor 8",1024,3,"A,M,C,I",csSiteSpecificFactor8,Tumor
2863,"CS Site-Specific Factor 9",1027,3,"A,M,C,I",csSiteSpecificFactor9,Tumor
2864,"CS Site-Specific Factor10",1030,3,"A,M,C,I",csSiteSpecificFactor10,Tumor
2865,"CS Site-Specific Factor11",1033,3,"A,M,C,I",csSiteSpecificFactor11,Tumor
2866,"CS Site-Specific Factor12",1036,3,"A,M,C,I",csSiteSpecificFactor12,Tumor
2867,"CS Site-Specific Factor13",1039,3,"A,M,C,I",csSiteSpecificFactor13,Tumor
2868,"CS Site-Specific Factor14",1042,3,"A,M,C,I",csSiteSpecificFactor14,Tumor
2869,"CS Site-Specific Factor15",1045,3,"A,M,C,I",csSiteSpecificFactor15,Tumor
2870,"CS Site-Specific Factor16",1048,3,"A,M,C,I",csSiteSpecificFactor16,Tumor
2871,"CS Site-Specific Factor17",1051,3,"A,M,C,I",csSiteSpecificFactor17,Tumor
2872,"CS Site-Specific Factor18",1054,3,"A,M,C,I",csSiteSpecificFactor18,Tumor
2873,"CS Site-Specific Factor19",1057,3,"A,M,C,I",csSiteSpecificFactor19,Tumor
2874,"CS Site-Specific Factor20",1060,3,"A,M,C,I",csSiteSpecificFactor20,Tumor
2875,"CS Site-Specific Factor21",1063,3,"A,M,C,I",csSiteSpecificFactor21,Tumor
2876,"CS Site-Specific Factor22",1066,3,"A,M,C,I",csSiteSpecificFactor22,Tumor
2877,"CS Site-Specific Factor23",1069,3,"A,M,C,I",csSiteSpecificFactor23,Tumor
2878,"CS Site-Specific Factor24",1072,3,"A,M,C,I",csSiteSpecificFactor24,Tumor
2879,"CS Site-Specific Factor25",1075,3,"A,M,C,I",csSiteSpecificFactor25,Tumor
2730,"CS PreRx Tumor Size",1078,3,"A,M,C,I",csPrerxTumorSize,Tumor
2735,"CS PreRx Extension",1081,3,"A,M,C,I",csPrerxExtension,Tumor
2740,"CS PreRx Tum Sz/Ext Eval",1084,1,"A,M,C,I",csPrerxTumSzExtEval,Tumor
2750,"CS PreRx Lymph Nodes",1085,3,"A,M,C,I",csPrerxLymphNodes,Tumor
2755,"CS PreRx Reg Nodes Eval",1088,1,"A,M,C,I",csPrerxRegNodesEval,Tumor
2760,"CS PreRx Mets at DX",1089,2,"A,M,C,I",csPrerxMetsAtDx,Tumor
2765,"CS PreRx Mets Eval",1091,1,"A,M,C,I",csPrerxMetsEval,Tumor
2770,"CS PostRx Tumor Size",1092,3,"A,M,C,I",csPostrxTumorSize,Tumor
2775,"CS PostRx Extension",1095,3,"A,M,C,I",csPostrxExtension,Tumor
2780,"CS PostRx Lymph Nodes",1098,3,"A,M,C,I",csPostrxLymphNodes,Tumor
2785,"CS PostRx Mets at DX",1101,2,"A,M,C,I",csPostrxMetsAtDx,Tumor
2940,"Derived AJCC-6 T",1103,2,"A,M,C,I",derivedAjcc6T,Tumor
2950,"Derived AJCC-6 T Descript",1105,1,"A,M,C,I",derivedAjcc6TDescript,Tumor
2960,"Derived AJCC-6 N",1106,2,"A,M,C,I",derivedAjcc6N,Tumor
2970,"Derived AJCC-6 N Descript",1108,1,"A,M,C,I",derivedAjcc6NDescript,Tumor
2980,"Derived AJCC-6 M",1109,2,"A,M,C,I",derivedAjcc6M,Tumor
2990,"Derived AJCC-6 M Descript",1111,1,"A,M,C,I",derivedAjcc6MDescript,Tumor
3000,"Derived AJCC-6 Stage Grp",1112,2,"A,M,C,I",derivedAjcc6StageGrp,Tumor
3400,"Derived AJCC-7 T",1114,3,"A,M,C,I",derivedAjcc7T,Tumor
3402,"Derived AJCC-7 T Descript",1117,1,"A,M,C,I",derivedAjcc7TDescript,Tumor
3410,"Derived AJCC-7 N",1118,3,"A,M,C,I",derivedAjcc7N,Tumor
3412,"Derived AJCC-7 N Descript",1121,1,"A,M,C,I",derivedAjcc7NDescript,Tumor
3420,"Derived AJCC-7 M",1122,3,"A,M,C,I",derivedAjcc7M,Tumor
3422,"Derived AJCC-7 M Descript",1125,1,"A,M,C,I",derivedAjcc7MDescript,Tumor
3430,"Derived AJCC-7 Stage Grp",1126,3,"A,M,C,I",derivedAjcc7StageGrp,Tumor
3440,"Derived PreRx-7 T",1129,3,"A,M,C,I",derivedPrerx7T,Tumor
3442,"Derived PreRx-7 T Descrip",1132,1,"A,M,C,I",derivedPrerx7TDescrip,Tumor
3450,"Derived PreRx-7 N",1133,3,"A,M,C,I",derivedPrerx7N,Tumor
3452,"Derived PreRx-7 N Descrip",1136,1,"A,M,C,I",derivedPrerx7NDescrip,Tumor
3460,"Derived PreRx-7 M",1137,3,"A,M,C,I",derivedPrerx7M,Tumor
3462,"Derived PreRx-7 M Descrip",1140,1,"A,M,C,I",derivedPrerx7MDescrip,Tumor
3470,"Derived PreRx-7 Stage Grp",1141,3,"A,M,C,I",derivedPrerx7StageGrp,Tumor
3480,"Derived PostRx-7 T",1144,3,"A,M,C,I",derivedPostrx7T,Tumor
3482,"Derived PostRx-7 N",1147,3,"A,M,C,I",derivedPostrx7N,Tumor
3490,"Derived PostRx-7 M",1150,2,"A,M,C,I",derivedPostrx7M,Tumor
3492,"Derived PostRx-7 Stge Grp",1152,3,"A,M,C,I",derivedPostrx7StgeGrp,Tumor
3010,"Derived SS1977",1155,1,"A,M,C,I",derivedSs1977,Tumor
3020,"Derived SS2000",1156,1,"A,M,C,I",derivedSs2000,Tumor
3600,"Derived Neoadjuv Rx Flag",1157,1,"A,M,C,I",derivedNeoadjuvRxFlag,Tumor
3030,"Derived AJCC--Flag",1158,1,"A,M,C,I",derivedAjccFlag,Tumor
3040,"Derived SS1977--Flag",1159,1,"A,M,C,I",derivedSs1977Flag,Tumor
3050,"Derived SS2000--Flag",1160,1,"A,M,C,I",derivedSs2000Flag,Tumor
2937,"CS Version Input Current",1161,6,"A,M,C,I",csVersionInputCurrent,Tumor
2935,"CS Version Input Original",1167,6,"A,M,C,I",csVersionInputOriginal,Tumor
2936,"CS Version Derived",1173,6,"A,M,C,I",csVersionDerived,Tumor
3700,"SEER Site-Specific Fact 1",1179,1,"A,M,C,I",seerSiteSpecificFact1,Tumor
3702,"SEER Site-Specific Fact 2",1180,1,"A,M,C,I",seerSiteSpecificFact2,Tumor
3704,"SEER Site-Specific Fact 3",1181,1,"A,M,C,I",seerSiteSpecificFact3,Tumor
3706,"SEER Site-Specific Fact 4",1182,1,"A,M,C,I",seerSiteSpecificFact4,Tumor
3708,"SEER Site-Specific Fact 5",1183,1,"A,M,C,I",seerSiteSpecificFact5,Tumor
3710,"SEER Site-Specific Fact 6",1184,1,"A,M,C,I",seerSiteSpecificFact6,Tumor
3165,"ICD Revision Comorbid",1185,1,"A,M,C,I",icdRevisionComorbid,Tumor
3110,"Comorbid/Complication 1",1186,5,"A,M,C,I",comorbidComplication1,Tumor
3120,"Comorbid/Complication 2",1191,5,"A,M,C,I",comorbidComplication2,Tumor
3130,"Comorbid/Complication 3",1196,5,"A,M,C,I",comorbidComplication3,Tumor
3140,"Comorbid/Complication 4",1201,5,"A,M,C,I",comorbidComplication4,Tumor
3150,"Comorbid/Complication 5",1206,5,"A,M,C,I",comorbidComplication5,Tumor
3160,"Comorbid/Complication 6",1211,5,"A,M,C,I",comorbidComplication6,Tumor
3161,"Comorbid/Complication 7",1216,5,"A,M,C,I",comorbidComplication7,Tumor
3162,"Comorbid/Complication 8",1221,5,"A,M,C,I",comorbidComplication8,Tumor
3163,"Comorbid/Complication 9",1226,5,"A,M,C,I",comorbidComplication9,Tumor
3164,"Comorbid/Complication 10",1231,5,"A,M,C,I",comorbidComplication10,Tumor
3780,"Secondary Diagnosis 1",1236,7,"A,M,C,I",secondaryDiagnosis1,Tumor
3782,"Secondary Diagnosis 2",1243,7,"A,M,C,I",secondaryDiagnosis2,Tumor
3784,"Secondary Diagnosis 3",1250,7,"A,M,C,I",secondaryDiagnosis3,Tumor
3786,"Secondary Diagnosis 4",1257,7,"A,M,C,I",secondaryDiagnosis4,Tumor
3788,"Secondary Diagnosis 5",1264,7,"A,M,C,I",secondaryDiagnosis5,Tumor
3790,"Secondary Diagnosis 6",1271,7,"A,M,C,I",secondaryDiagnosis6,Tumor
3792,"Secondary Diagnosis 7",1278,7,"A,M,C,I",secondaryDiagnosis7,Tumor
3794,"Secondary Diagnosis 8",1285,7,"A,M,C,I",secondaryDiagnosis8,Tumor
3796,"Secondary Diagnosis 9",1292,7,"A,M,C,I",secondaryDiagnosis9,Tumor
3798,"Secondary Diagnosis 10",1299,7,"A,M,C,I",secondaryDiagnosis10,Tumor
3720,"NPCR Specific Field",1306,75,"A,M,C,I",npcrSpecificField,Tumor
1180,"Reserved 05",1381,55,"A,M,C,I",reserved05,Tumor
1260,"Date Initial RX SEER",1436,8,"A,M,C,I",dateInitialRxSeer,Tumor
1261,"Date Initial RX SEER Flag",1444,2,"A,M,C,I",dateInitialRxSeerFlag,Tumor
1270,"Date 1st Crs RX CoC",1446,8,"A,M,C,I",date1stCrsRxCoc,Tumor
1271,"Date 1st Crs RX CoC Flag",1454,2,"A,M,C,I",date1stCrsRxCocFlag,Tumor
1200,"RX Date Surgery",1456,8,"A,M,C,I",rxDateSurgery,Tumor
1201,"RX Date Surgery Flag",1464,2,"A,M,C,I",rxDateSurgeryFlag,Tumor
3170,"RX Date Most Defin Surg",1466,8,"A,M,C,I",rxDateMostDefinSurg,Tumor
3171,"RX Date Most Defin Surg Flag",1474,2,"A,M,C,I",rxDateMostDefinSurgFlag,Tumor
3180,"RX Date Surgical Disch",1476,8,"A,M,C,I",rxDateSurgicalDisch,Tumor
3181,"RX Date Surgical Disch Flag",1484,2,"A,M,C,I",rxDateSurgicalDischFlag,Tumor
1210,"RX Date Radiation",1486,8,"A,M,C,I",rxDateRadiation,Tumor
1211,"RX Date Radiation Flag",1494,2,"A,M,C,I",rxDateRadiationFlag,Tumor
3220,"RX Date Radiation Ended",1496,8,"A,M,C,I",rxDateRadiationEnded,Tumor
3221,"RX Date Radiation Ended Flag",1504,2,"A,M,C,I",rxDateRadiationEndedFlag,Tumor
3230,"RX Date Systemic",1506,8,"A,M,C,I",rxDateSystemic,Tumor
3231,"RX Date Systemic Flag",1514,2,"A,M,C,I",rxDateSystemicFlag,Tumor
1220,"RX Date Chemo",1516,8,"A,M,C,I",rxDateChemo,Tumor
1221,"RX Date Chemo Flag",1524,2,"A,M,C,I",rxDateChemoFlag,Tumor
1230,"RX Date Hormone",1526,8,"A,M,C,I",rxDateHormone,Tumor
1231,"RX Date Hormone Flag",1534,2,"A,M,C,I",rxDateHormoneFlag,Tumor
1240,"RX Date BRM",1536,8,"A,M,C,I",rxDateBrm,Tumor
1241,"RX Date BRM Flag",1544,2,"A,M,C,I",rxDateBrmFlag,Tumor
1250,"RX Date Other",1546,8,"A,M,C,I",rxDateOther,Tumor
1251,"RX Date Other Flag",1554,2,"A,M,C,I",rxDateOtherFlag,Tumor
1280,"RX Date DX/Stg Proc",1556,8,"A,M,C,I",rxDateDxStgProc,Tumor
1281,"RX Date DX/Stg Proc Flag",1564,2,"A,M,C,I",rxDateDxStgProcFlag,Tumor
1285,"RX Summ--Treatment Status",1566,1,"A,M,C,I",rxSummTreatmentStatus,Tumor
1290,"RX Summ--Surg Prim Site",1567,2,"A,M,C,I",rxSummSurgPrimSite,Tumor
1292,"RX Summ--Scope Reg LN Sur",1569,1,"A,M,C,I",rxSummScopeRegLnSur,Tumor
1294,"RX Summ--Surg Oth Reg/Dis",1570,1,"A,M,C,I",rxSummSurgOthRegDis,Tumor
1296,"RX Summ--Reg LN Examined",1571,2,"A,M,C,I",rxSummRegLnExamined,Tumor
1310,"RX Summ--Surgical Approch",1573,1,"A,M,C,I",rxSummSurgicalApproch,Tumor
1320,"RX Summ--Surgical Margins",1574,1,"A,M,C,I",rxSummSurgicalMargins,Tumor
1330,"RX Summ--Reconstruct 1st",1575,1,"A,M,C,I",rxSummReconstruct1st,Tumor
1340,"Reason for No Surgery",1576,1,"A,M,C,I",reasonForNoSurgery,Tumor
1350,"RX Summ--DX/Stg Proc",1577,2,"A,M,C,I",rxSummDxStgProc,Tumor
3270,"RX Summ--Palliative Proc",1579,1,"A,M,C,I",rxSummPalliativeProc,Tumor
1360,"RX Summ--Radiation",1580,1,"A,M,C,I",rxSummRadiation,Tumor
1370,"RX Summ--Rad to CNS",1581,1,"A,M,C,I",rxSummRadToCns,Tumor
1380,"RX Summ--Surg/Rad Seq",1582,1,"A,M,C,I",rxSummSurgRadSeq,Tumor
3250,"RX Summ--Transplnt/Endocr",1583,2,"A,M,C,I",rxSummTransplntEndocr,Tumor
1390,"RX Summ--Chemo",1585,2,"A,M,C,I",rxSummChemo,Tumor
1400,"RX Summ--Hormone",1587,2,"A,M,C,I",rxSummHormone,Tumor
1410,"RX Summ--BRM",1589,2,"A,M,C,I",rxSummBrm,Tumor
1420,"RX Summ--Other",1591,1,"A,M,C,I",rxSummOther,Tumor
1430,"Reason for No Radiation",1592,1,"A,M,C,I",reasonForNoRadiation,Tumor
1460,"RX Coding System--Current",1593,2,"A,M,C,I",rxCodingSystemCurrent,Tumor
2161,"Reserved 18",1595,1,"A,M,C,I",reserved18,Tumor
