XML NAACCR ID,Item #,Item Name,Length,PARENT XML ELEMENT,Section,Format,Allowable Values,Note
addrAtDxCountry,102,Addr at DX--Country,3,Tumor,Demographic,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes and custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL",
censusTract19708090,110,Census Tract 1970/80/90,6,Tumor,Demographic,"Right justified, zero filled","Valid FIPS Codes: 000100-999998, 000000, 999999, Blank",
censusCodSys19708090,120,Census Cod Sys 1970/80/90,1,Tumor,Demographic,,"0-3, blank",
censusTract2020,125,Census Tract 2020,6,Tumor,Demographic,"Right justified, zero filled","Census Tract Codes 000100-999998, 000000, 999999, Blank",
censusTract2000,130,Census Tract 2000,6,Tumor,Demographic,"Right justified, zero filled","Valid FIPS Codes: 000100-999998, 000000, 999999, blank",
censusTract2010,135,Census Tract 2010,6,Tumor,Demographic,"Right justified, zero filled","Census Tract Codes 000100-999998, 000000, 999999, blank",
censusTrPovertyIndictr,145,Census Tr Poverty Indictr,1,Tumor,Demographic,,"1-4, 9",
maritalStatusAtDx,150,Marital Status at DX,1,Tumor,Demographic,,"1-6, 9",
race1,160,Race 1,2,Patient,Demographic,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 96-99",
race2,161,Race 2,2,Patient,Demographic,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",
race3,162,Race 3,2,Patient,Demographic,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",
race4,163,Race 4,2,Patient,Demographic,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",
race5,164,Race 5,2,Patient,Demographic,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",
raceCodingSysCurrent,170,Race Coding Sys--Current,1,Patient,Demographic,,"1-7, 9",
raceCodingSysOriginal,180,Race Coding Sys--Original,1,Patient,Demographic,,"1-7, 9",
spanishHispanicOrigin,190,Spanish/Hispanic Origin,1,Patient,Demographic,,"0-8, 9",
nhiaDerivedHispOrigin,191,NHIA Derived Hisp Origin,1,Patient,Demographic,,"0-8, blank",
ihsLink,192,IHS Link,1,Patient,Demographic,,"0, 1, blank",
raceNapiia,193,Race--NAPIIA(derived API),2,Patient,Demographic,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 96, 99, blank",
ihsPurchRefCareDeliveryArea,194,IHS Purchased/Referred Care Delivery Area,1,Tumor,Demographic,,"0, 1, 9",
computedEthnicity,200,Computed Ethnicity,1,Patient,Demographic,,"0-7, blank",
computedEthnicitySource,210,Computed Ethnicity Source,1,Patient,Demographic,,"0-9, blank",
sex,220,Sex,1,Patient,Demographic,,"1-6, 9",
ageAtDiagnosis,230,Age at Diagnosis,3,Tumor,Demographic,"Right justified, zero filled","000-120, 999",
dateOfBirth,240,Date of Birth,8,Patient,Demographic,YYYYMMDD,Valid date,
birthplaceState,252,Birthplace--State,2,Patient,Demographic,Upper case,"USPS abbreviations and CanadaPost abbreviations; also a few local codes to capture legacy definitions, including unknowns, consistent with the codes allowable for Addr at Dx--State [80].",
birthplaceCountry,254,Birthplace--Country,3,Patient,Demographic,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes; custom codes:ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL. See Appendix B for complete list of country names and corresponding three character alpha codes.",
censusOccCode19702000,270,Census Occ Code 1970-2000,3,Tumor,Demographic,"Right justified, zero filled",Reference Industry and Occupation Coding for Death Certificates,
censusIndCode2010,272,Census Ind Code 2010 CDC,4,Tumor,Demographic,"Right justified, zero filled","Valid 4 digit numbers, Blank",
censusIndCode19702000,280,Census Ind Code 1970-2000,3,Tumor,Demographic,"Right justified, zero filled",Reference Industry and Occupation Coding for Death Certificates,
censusOccCode2010,282,Census Occ Code 2010 CDC,4,Tumor,Demographic,"Right justified, zero filled","Valid 4-digit numbers, Blank",
urbanIndianHealthOrganization,284,Urban Indian Health Organization (UIHO),1,Tumor,Demographic,,"0, 1, 9",
uihoFacility,285,UIHO City,2,Tumor,Demographic,Numeric,00-52,
occupationSource,290,Occupation Source,1,Tumor,Demographic,,"0-3, 7-9, blank",
industrySource,300,Industry Source,1,Tumor,Demographic,,"0-3, 7-9, blank",
textUsualOccupation,310,Text--Usual Occupation,100,Tumor,Demographic,Free text,Neither carriage return nor line feed characters allowed,
textUsualIndustry,320,Text--Usual Industry,100,Tumor,Demographic,Free text,Neither carriage return nor line feed characters allowed,
censusOccIndSys7000,330,Census Occ/Ind Sys 70-00,1,Tumor,Demographic,,"1-5, 7, 9, blank",
ruca2000,339,RUCA 2000,1,Tumor,Demographic,,"1, 2, 9",
ruca2010,341,RUCA 2010,1,Tumor,Demographic,,"1, 2, 9",
tobaccoUseSmokingStatus,344,Tobacco Use Smoking Status,1,Tumor,Demographic,,"0-3, 9",
uric2000,345,URIC 2000,1,Tumor,Demographic,,"1-4, 9",
uric2010,346,URIC 2010,1,Tumor,Demographic,,"1-4, 9",
censusBlockGroup2020,361,Census Block Group 2020,1,Tumor,Demographic,,"0-9, Blank",
censusBlockGroup2000,362,Census Block Group 2000,1,Tumor,Demographic,,"0-9, blank",
censusBlockGroup2010,363,Census Block Group 2010,1,Tumor,Demographic,,"0-9, blank",
censusTrCert19708090,364,Census Tr Cert 1970/80/90,1,Tumor,Demographic,,"1-6, 9, blank",
censusTrCertainty2000,365,Census Tr Certainty 2000,1,Tumor,Demographic,,"1-6, 9, blank",
gisCoordinateQuality,366,GIS Coordinate Quality,2,Tumor,Demographic,"Right justified, zero filled","00-12, 98, 99, blank",
censusTrCertainty2010,367,Census Tr Certainty 2010,1,Tumor,Demographic,,"1-6, 9, blank",
censusBlockGrp197090,368,Census Block Grp 1970/80/90,1,Tumor,Demographic,,"0-9, blank",
censusTractCertainty2020,369,Census Tract Certainty 2020,1,Tumor,Demographic,,"1-6, 9, Blank",
sequenceNumberCentral,380,Sequence Number--Central,2,Tumor,Cancer Identification,"Right justified, zero filled","00-59, 60-87, 88, 98, 99",
dateOfDiagnosis,390,Date of Diagnosis,8,Tumor,Cancer Identification,YYYYMMDD,Valid date,
primarySite,400,Primary Site,4,Tumor,Cancer Identification,"C followed by 3 digits, no special characters, no embedded blanks",Refer to ICD-O-3 (decimals are dropped),
laterality,410,Laterality,1,Tumor,Cancer Identification,,"0-5, 9",
histologyIcdO2,420,Histology (92-00) ICD-O-2,4,Tumor,Cancer Identification,,"8000-9989, Refer to ICD-0-2",
behaviorIcdO2,430,Behavior (92-00) ICD-O-2,1,Tumor,Cancer Identification,,"0-3, Refer to ICD-0-2",
grade,440,Grade,1,Tumor,Cancer Identification,,1-9,
gradePathValue,441,Grade Path Value,1,Tumor,Cancer Identification,,"1-4, blank",
ambiguousTerminologyDx,442,Ambiguous Terminology DX,1,Tumor,Cancer Identification,,"0-2, 9",
dateConclusiveDx,443,Date Conclusive DX,8,Tumor,Cancer Identification,YYYYMMDD,Valid date,
multTumRptAsOnePrim,444,Mult Tum Rpt as One Prim,2,Tumor,Cancer Identification,"Right justified, zero filled","00, 10-12, 20, 30-32, 40, 80, 88, 99",
dateOfMultTumors,445,Date of Mult Tumors,8,Tumor,Cancer Identification,YYYYMMDD,Valid date,
multiplicityCounter,446,Multiplicity Counter,2,Tumor,Cancer Identification,"Right justified, zero filled","00-89, 99, blank",
gradePathSystem,449,Grade Path System,1,Tumor,Cancer Identification,,"2-4, blank",
siteCodingSysCurrent,450,Site Coding Sys--Current,1,Tumor,Cancer Identification,,"1-6, 9",
siteCodingSysOriginal,460,Site Coding Sys--Original,1,Tumor,Cancer Identification,,"1-6, 9",
morphCodingSysCurrent,470,Morph Coding Sys--Current,1,Tumor,Cancer Identification,,"1-9, A, B, C, D",
morphCodingSysOriginl,480,Morph Coding Sys--Originl,1,Tumor,Cancer Identification,,"1-9, A, B, C, D",
diagnosticConfirmation,490,Diagnostic Confirmation,1,Tumor,Cancer Identification,,1-9,
typeOfReportingSource,500,Type of Reporting Source,1,Tumor,Cancer Identification,,1-8,
casefindingSource,501,Casefinding Source,2,Tumor,Cancer Identification,,"10, 20-30, 40, 50, 60, 70, 75, 80, 85, 90, 95, 99",
histologicTypeIcdO3,522,Histologic Type ICD-O-3,4,Tumor,Cancer Identification,,"8000-9989, Refer to ICD-O-3",
behaviorCodeIcdO3,523,Behavior Code ICD-O-3,1,Tumor,Cancer Identification,,"0-3, Refer to ICD-O-3",
edpMdeLinkDate,530,EDP MDE Link Date,8,Tumor,Demographic,"YYYYMMDD Fixed-length, left-justified, space filled.",Valid Dates,
edpMdeLink,531,EDP MDE Link,1,Tumor,Demographic,,"0, 1, Blank",
reportingFacility,540,Reporting Facility,10,Tumor,Hospital-Specific,"Right justified, zero filled",10-digit number,
npiReportingFacility,545,NPI--Reporting Facility,10,Tumor,Hospital-Specific,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",
accessionNumberHosp,550,Accession Number--Hosp,9,Tumor,Hospital-Specific,,9-digit number,
sequenceNumberHospital,560,Sequence Number--Hospital,2,Tumor,Hospital-Specific,"Right justified, zero filled","00-59, 60-87, 88, 99",
abstractedBy,570,Abstracted By,3,Tumor,Hospital-Specific,No special characters,Letters and numbers,
dateOf1stContact,580,Date of 1st Contact,8,Tumor,Hospital-Specific,YYYYMMDD,Valid dates,
dateOfInptAdm,590,Date of Inpt Adm,8,Tumor,Hospital-Specific,YYYYMMDD,Valid dates,
dateOfInptDisch,600,Date of Inpt Disch,8,Tumor,Hospital-Specific,YYYYMMDD,Valid dates,
inpatientStatus,605,Inpatient Status,1,Tumor,Hospital-Specific,,"0,1,9, blank",
classOfCase,610,Class of Case,2,Tumor,Hospital-Specific,"Right justified, zero filled","00, 10-14, 20-22, 30-38, 40-43, 49, 99",
primaryPayerAtDx,630,Primary Payer at DX,2,Tumor,Hospital-Specific,"Right justified, zero filled","01, 02, 10, 20, 21, 31, 35, 60-68, 99",
rxHospSurgApp2010,668,RX Hosp--Surg App 2010,1,Tumor,Hospital-Specific,,"0-5, 9",
rxHospSurgPrimSite,670,RX Hosp--Surg Prim Site 03-2022,2,Tumor,Hospital-Specific,"Right justified, zero filled","00, 10-80, 90, 98, 99 (site-specific)",Revised
rxHospSurgPrimSite2023,671,RX Hosp--Surg Prim Site 2023,4,Tumor,Hospital-Specific,Alphanumeric Blank,"A000, A200-A990, Blank",New
rxHospScopeRegLnSur,672,RX Hosp--Scope Reg LN Sur,1,Tumor,Hospital-Specific,,"0-7, 9",
rxHospSurgOthRegDis,674,RX Hosp--Surg Oth Reg/Dis,1,Tumor,Hospital-Specific,,"0-5, 9",
rxHospRegLnRemoved,676,RX Hosp--Reg LN Removed,2,Tumor,Hospital-Specific,"Right justified, zero filled","00-90, 95-99",
dateRegionalLNDissection,682,Date Regional Lymph Node Dissection,8,Tumor,Stage/Prognostic Factors,YYYYMMDD,Valid dates,
rxHospRadiation,690,RX Hosp--Radiation,1,Tumor,Hospital-Specific,,"0-5, 9",
rxHospChemo,700,RX Hosp--Chemo,2,Tumor,Hospital-Specific,"Right justified, zero filled","00-03, 82, 85-88, 99",
rxHospHormone,710,RX Hosp--Hormone,2,Tumor,Hospital-Specific,"Right justified, zero filled","00, 01, 82, 85-88, 99",
rxHospBrm,720,RX Hosp--BRM,2,Tumor,Hospital-Specific,"Right justified, zero filled","00, 01, 82, 85-88, 99",
rxHospOther,730,RX Hosp--Other,1,Tumor,Hospital-Specific,,"0-3, 6-9",
rxHospDxStgProc,740,RX Hosp--DX/Stg Proc,2,Tumor,Hospital-Specific,"Right justified, zero filled","00-07, 09",
rxHospSurgSite9802,746,RX Hosp--Surg Site 98-02,2,Tumor,Hospital-Specific,"Right justified, zero filled","00, 10-90, 99 (site-specific), blank",
rxHospScopeReg9802,747,RX Hosp--Scope Reg 98-02,1,Tumor,Hospital-Specific,,"0-9 (site-specific), blank",
rxHospSurgOth9802,748,RX Hosp--Surg Oth 98-02,1,Tumor,Hospital-Specific,,"0-9 (site-specific), blank",
tumorSizeClinical,752,Tumor Size Clinical,3,Tumor,Stage/Prognostic Factors,,"000-990, 998, 999",
tumorSizePathologic,754,Tumor Size Pathologic,3,Tumor,Stage/Prognostic Factors,,"000-990, 998, 999",
tumorSizeSummary,756,Tumor Size Summary,3,Tumor,Stage/Prognostic Factors,,"000-990, 998, 999",
seerSummaryStage2000,759,SEER Summary Stage 2000,1,Tumor,Stage/Prognostic Factors,,"0-5, 7, 8, 9",
seerSummaryStage1977,760,SEER Summary Stage 1977,1,Tumor,Stage/Prognostic Factors,,"0-5, 7, 8, 9",
derivedSummaryStage2018,762,Derived Summary Stage 2018,1,Tumor,Stage/Prognostic Factors,,"0-4, 7-9",
summaryStage2018,764,Summary Stage 2018,1,Tumor,Stage/Prognostic Factors,,"0-4, 7-9",
eodPrimaryTumor,772,EOD Primary Tumor,3,Tumor,Stage/Prognostic Factors,,"Valid schema-specific codes; also 000, 800, 999",
eodRegionalNodes,774,EOD Regional Nodes,3,Tumor,Stage/Prognostic Factors,,"Valid schema-specific codes; also 000, 800, 888, 999",
eodMets,776,EOD Mets,2,Tumor,Stage/Prognostic Factors,,"Valid schema-specific codes; also 00, 88, 99",
eodTumorSize,780,EOD--Tumor Size,3,Tumor,Stage/Prognostic Factors,"Right justified, zero filled",See respective source references,
derivedEod2018T,785,Derived EOD 2018 T,15,Tumor,Stage/Prognostic Factors,,,
eodExtension,790,EOD--Extension,2,Tumor,Stage/Prognostic Factors,"Right justified, zero filled",Reference SEER Extent of Disease manual,
derivedEod2018M,795,Derived EOD 2018 M,15,Tumor,Stage/Prognostic Factors,,,
eodExtensionProstPath,800,EOD--Extension Prost Path,2,Tumor,Stage/Prognostic Factors,"Right justified, zero filled",Reference SEER Extent of Disease manual,
eodLymphNodeInvolv,810,EOD--Lymph Node Involv,1,Tumor,Stage/Prognostic Factors,,Reference SEER Extent of Disease manual,
derivedEod2018N,815,Derived EOD 2018 N,15,Tumor,Stage/Prognostic Factors,,,
derivedEod2018StageGroup,818,Derived EOD 2018 Stage Group,15,Tumor,Stage/Prognostic Factors,,,
regionalNodesPositive,820,Regional Nodes Positive,2,Tumor,Stage/Prognostic Factors,"Right justified, zero filled","00-90, 95, 97-99",
regionalNodesExamined,830,Regional Nodes Examined,2,Tumor,Stage/Prognostic Factors,"Right justified, zero filled","00-90, 95-99",
dateSentinelLymphNodeBiopsy,832,Date of Sentinel Lymph Node Biopsy,8,Tumor,Stage/Prognostic Factors,YYYYMMDD,Valid dates,
sentinelLymphNodesExamined,834,Sentinel Lymph Nodes Examined,2,Tumor,Stage/Prognostic Factors,"Right justified, zero filled","00-90, 95, 98, 99",
sentinelLymphNodesPositive,835,Sentinel Lymph Nodes Positive,2,Tumor,Stage/Prognostic Factors,"Right justified, zero filled","00-90, 95, 97-99",
eodOld13Digit,840,EOD--Old 13 Digit,13,Tumor,Stage/Prognostic Factors,Numeric and special characters,,
eodOld2Digit,850,EOD--Old 2 Digit,2,Tumor,Stage/Prognostic Factors,"Numeric plus special characters ""&"" and ""dash"" (""-"")",,
eodOld4Digit,860,EOD--Old 4 Digit,4,Tumor,Stage/Prognostic Factors,,,
codingSystemForEod,870,Coding System for EOD,1,Tumor,Stage/Prognostic Factors,,"0-4, Blank",
tnmPathT,880,TNM Path T,4,Tumor,Stage/Prognostic Factors,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS manual; also 88, blank",
tnmPathN,890,TNM Path N,4,Tumor,Stage/Prognostic Factors,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS manual; also 88, blank",
tnmPathM,900,TNM Path M,4,Tumor,Stage/Prognostic Factors,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",
tnmPathStageGroup,910,TNM Path Stage Group,4,Tumor,Stage/Prognostic Factors,"Upper case, alphanumeric. Convert AJCC Roman numerals to Arabic numerals. Left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, 99",
tnmPathDescriptor,920,TNM Path Descriptor,1,Tumor,Stage/Prognostic Factors,,"0-6, 9, blank",
tnmPathStagedBy,930,TNM Path Staged By,2,Tumor,Stage/Prognostic Factors,,"00, 10-15, 20, 30, 40, 50, 60, 88, 99 ",
tnmClinT,940,TNM Clin T,4,Tumor,Stage/Prognostic Factors,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",
tnmClinN,950,TNM Clin N,4,Tumor,Stage/Prognostic Factors,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",
tnmClinM,960,TNM Clin M,4,Tumor,Stage/Prognostic Factors,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",
tnmClinStageGroup,970,TNM Clin Stage Group,4,Tumor,Stage/Prognostic Factors,"Upper case, alphanumeric. Convert AJCC Roman numerals to Arabic numerals. Left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, 99",
tnmClinDescriptor,980,TNM Clin Descriptor,1,Tumor,Stage/Prognostic Factors,,"0-3, 5, 9, blank",
tnmClinStagedBy,990,TNM Clin Staged By,2,Tumor,Stage/Prognostic Factors,,"00, 10-15, 20, 30, 40, 50, 60, 88, 99 ",
ajccId,995,AJCC ID,4,Tumor,Stage/Prognostic Factors,,,
ajccTnmClinT,1001,AJCC TNM Clin T,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",
ajccTnmClinN,1002,AJCC TNM Clin N,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",
ajccTnmClinM,1003,AJCC TNM Clin M,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",
ajccTnmClinStageGroup,1004,AJCC TNM Clin Stage Group,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",
ajccTnmPathT,1011,AJCC TNM Path T,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",
ajccTnmPathN,1012,AJCC TNM Path N,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",
ajccTnmPathM,1013,AJCC TNM Path M,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",
ajccTnmPathStageGroup,1014,AJCC TNM Path Stage Group,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",
ajccTnmPostTherapyT,1021,AJCC TNM Post Therapy Path (yp) T,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",
ajccTnmPostTherapyN,1022,AJCC TNM Post Therapy Path (yp) N,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",
ajccTnmPostTherapyM,1023,AJCC TNM Post Therapy Path (yp) M,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",
ajccTnmPostTherapyStageGroup,1024,AJCC TNM Post Therapy Path (yp) Stage Group,15,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",
ajccTnmClinTSuffix,1031,AJCC TNM Clin T Suffix,4,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (m), (s), blank",
ajccTnmPathTSuffix,1032,AJCC TNM Path T Suffix,4,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (m), (s), Blank",
ajccTnmPostTherapyTSuffix,1033,AJCC TNM Post Therapy Path (yp) T Suffix,4,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (m),(s), Blank",
ajccTnmClinNSuffix,1034,AJCC TNM Clin N Suffix,4,Tumor,Stage/Prognostic Factors,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (sn), (f), Blank",
ajccTnmPathNSuffix,1035,AJCC TNM Path N Suffix,4,Tumor,Stage/Prognostic Factors,Left justified,"(sn), (f), Blank",
ajccTnmPostTherapyNSuffix,1036,AJCC TNM Post Therapy Path (yp) N Suffix,4,Tumor,Stage/Prognostic Factors,Left justified,"(sn), (f), Blank",
tnmEditionNumber,1060,TNM Edition Number,2,Tumor,Stage/Prognostic Factors,"Right justified, zero filled","00-09, 88, 99",
ajccTnmPostTherapyClinT,1062,AJCC TNM Post Therapy Clin (yc) T,15,Tumor,Stage/Prognostic Factors,,"Those published in the AJCC Cancer Staging Manual, 88, blank",
ajccTnmPostTherapyClinTSuffix,1063,AJCC TNM Post Therapy Clin (yc) T Suffix,4,Tumor,Stage/Prognostic Factors,,"(m), (s), blank",
ajccTnmPostTherapyClinN,1064,AJCC TNM Post Therapy Clin (yc) N,15,Tumor,Stage/Prognostic Factors,,"In addition to those published in the AJCC Cancer Staging Manual: 88, Blank",
ajccTnmPostTherapyClinNSuffix,1065,AJCC TNM Post Therapy Clin (yc) N Suffix,4,Tumor,Stage/Prognostic Factors,,"(sn), (f), Blank",
ajccTnmPostTherapyClinM,1066,AJCC TNM Post Therapy Clin (yc) M,15,Tumor,Stage/Prognostic Factors,,"Those published in the AJCC Cancer Staging Manual, 88, Blank",
ajccTnmPostTherapyClinStageGrp,1067,AJCC TNM Post Therapy Clin (yc) Stage Group,15,Tumor,Stage/Prognostic Factors,,"Those published in the AJCC Cancer Staging Manual, 88, Blank",
gradePostTherapyClin,1068,Grade Post Therapy Clin (yc),1,Tumor,Stage/Prognostic Factors,,"Refer to the most recent version of the SSDI, Blank",
metsAtDxBone,1112,Mets at DX-Bone,1,Tumor,Stage/Prognostic Factors,,"0, 1, 8, 9",
metsAtDxBrain,1113,Mets at DX-Brain,1,Tumor,Stage/Prognostic Factors,,"0, 1, 8, 9",
metsAtDxDistantLn,1114,Mets at Dx-Distant LN,1,Tumor,Stage/Prognostic Factors,,"0, 1, 8, 9",
metsAtDxLiver,1115,Mets at DX-Liver,1,Tumor,Stage/Prognostic Factors,,"0, 1, 8, 9",
metsAtDxLung,1116,Mets at DX-Lung,1,Tumor,Stage/Prognostic Factors,,"0, 1, 8, 9",
metsAtDxOther,1117,Mets at DX-Other,1,Tumor,Stage/Prognostic Factors,,"0, 1, 2, 8, 9",
pediatricStage,1120,Pediatric Stage,2,Tumor,Stage/Prognostic Factors,Alphanumeric,Refer to ROADS Manual,
pediatricStagingSystem,1130,Pediatric Staging System,2,Tumor,Stage/Prognostic Factors,"Right justified, zero filled","00-15, 88, 97, 99",
pediatricStagedBy,1140,Pediatric Staged By,1,Tumor,Stage/Prognostic Factors,,0-9,
tumorMarker1,1150,Tumor Marker 1,1,Tumor,Stage/Prognostic Factors,,"0-6, 8, 9",
tumorMarker2,1160,Tumor Marker 2,1,Tumor,Stage/Prognostic Factors,,"0-6, 8, 9",
tumorMarker3,1170,Tumor Marker 3,1,Tumor,Stage/Prognostic Factors,,"0-6, 8, 9",
lymphVascularInvasion,1182,Lymphovascular Invasion,1,Tumor,Stage/Prognostic Factors,,"0-4,8,9",
rxDateSurgery,1200,RX Date Surgery,8,Tumor,Treatment-1st Course,YYYYMMDD,Valid dates,
rxDateRadiation,1210,RX Date Radiation,8,Tumor,Treatment-1st Course,YYYYMMDD,Valid dates,
rxDateChemo,1220,RX Date Chemo,8,Tumor,Treatment-1st Course,YYYYMMDD,Valid dates,
rxDateHormone,1230,RX Date Hormone,8,Tumor,Treatment-1st Course,YYYYMMDD,Valid dates,
rxDateBrm,1240,RX Date BRM,8,Tumor,Treatment-1st Course,YYYYMMDD,Valid dates,
rxDateOther,1250,RX Date Other,8,Tumor,Treatment-1st Course,YYYYMMDD,Valid dates,
dateInitialRxSeer,1260,Date Initial RX SEER,8,Tumor,Treatment-1st Course,YYYYMMDD,Valid dates,
