Length,Item #,Item Name,XML NAACCR ID,Format,Allowable Values,PARENT XML ELEMENT,Section,Note,Data Type
3,50,NAACCR Record Version,naaccrRecordVersion,,"120, 121, 122, 130, 140, 150, 160, 180, 210, 220",NaaccrData,Record ID,,
2,60,Tumor Record Number,tumorRecordNumber,"Right justified, zero filled",Jan-99,Tumor,Record ID,,
50,70,Addr at DX--City,addrAtDxCity,"Mixed case letters, special characters only as allowed by USPS, embedded spaces allowed, left justified, blank filled",City name or UNKNOWN,Tumor,Demographic,,
2,80,Addr at DX--State,addrAtDxState,Upper case,"Refer to EDITS table STATE.DBF in Appendix B; CD, US, XX, YY, ZZ",Tumor,Demographic,,
2,81,State at DX Geocode 1970/80/90,stateAtDxGeocode19708090,,"01-95, Blank",Tumor,Demographic,,
2,82,State at DX Geocode 2000,stateAtDxGeocode2000,,"01-95, Blank",Tumor,Demographic,,
2,83,State at DX Geocode 2010,stateAtDxGeocode2010,,"01-95, Blank",Tumor,Demographic,,
2,84,State at DX Geocode 2020,stateAtDxGeocode2020,,"01-95, Blank",Tumor,Demographic,,
3,89,County at DX Analysis,countyAtDxAnalysis,,"001-997, 998, 999",Tumor,Demographic,,
3,90,County at DX Reported,countyAtDx,"Right justified, zero filled",001-999,Tumor,Demographic,,
3,94,County at DX Geocode 1970/80/90,countyAtDxGeocode1990,,000-999,Tumor,Demographic,,
3,95,County at DX Geocode2000,countyAtDxGeocode2000,,001-999,Tumor,Demographic,,
3,96,County at DX Geocode2010,countyAtDxGeocode2010,,000-999,Tumor,Demographic,,
3,97,County at DX Geocode2020,countyAtDxGeocode2020,,001-999,Tumor,Demographic,,
9,100,Addr at DX--Postal Code,addrAtDxPostalCode,"Numbers or upper case letters. No special characters or embedded spaces allowed. Left justified, blank filled","5-digit or 9-digit U.S. ZIP codes; 6-character Canadian postal codes; valid postal codes from other countries, 888888888, 999999999, 88888+4 blanks (U.S.), 99999+4 blanks (U.S.), 999999+3 blanks (Canada)",Tumor,Demographic,,
3,102,Addr at DX--Country,addrAtDxCountry,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes and custom codes: ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL",Tumor,Demographic,,
6,110,Census Tract 1970/80/90,censusTract19708090,"Right justified, zero filled","Valid FIPS Codes: 000100-999998, 000000, 999999, Blank",Tumor,Demographic,,
1,120,Census Cod Sys 1970/80/90,censusCodSys19708090,,"0-3, blank",Tumor,Demographic,,
6,125,Census Tract 2020,censusTract2020,"Right justified, zero filled","Census Tract Codes 000100-999998, 000000, 999999, Blank",Tumor,Demographic,,
6,130,Census Tract 2000,censusTract2000,"Right justified, zero filled","Valid FIPS Codes: 000100-999998, 000000, 999999, blank",Tumor,Demographic,,
6,135,Census Tract 2010,censusTract2010,"Right justified, zero filled","Census Tract Codes 000100-999998, 000000, 999999, blank",Tumor,Demographic,,
1,145,Census Tr Poverty Indictr,censusTrPovertyIndictr,,"1-4, 9",Tumor,Demographic,,
1,150,Marital Status at DX,maritalStatusAtDx,,"1-6, 9",Tumor,Demographic,,
2,160,Race 1,race1,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 96-99",Patient,Demographic,,
2,161,Race 2,race2,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",Patient,Demographic,,
2,162,Race 3,race3,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",Patient,Demographic,,
2,163,Race 4,race4,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",Patient,Demographic,,
2,164,Race 5,race5,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 88, 96-99, blank",Patient,Demographic,,
1,170,Race Coding Sys--Current,raceCodingSysCurrent,,"1-7, 9",Patient,Demographic,,
1,180,Race Coding Sys--Original,raceCodingSysOriginal,,"1-7, 9",Patient,Demographic,,
1,190,Spanish/Hispanic Origin,spanishHispanicOrigin,,"0-8, 9",Patient,Demographic,,
1,191,NHIA Derived Hisp Origin,nhiaDerivedHispOrigin,,"0-8, blank",Patient,Demographic,,
1,192,IHS Link,ihsLink,,"0, 1, blank",Patient,Demographic,,
2,193,Race--NAPIIA(derived API),raceNapiia,"Right justified, zero filled","01-08, 10-17, 20-22, 25-28, 30-32, 96, 99, blank",Patient,Demographic,,
1,200,Computed Ethnicity,computedEthnicity,,"0-7, blank",Patient,Demographic,,
1,210,Computed Ethnicity Source,computedEthnicitySource,,"0-9, blank",Patient,Demographic,,
1,220,Sex,sex,,"1-6, 9",Patient,Demographic,,
3,230,Age at Diagnosis,ageAtDiagnosis,"Right justified, zero filled","000-120, 999",Tumor,Demographic,,
8,240,Date of Birth,dateOfBirth,YYYYMMDD,Valid date,Patient,Demographic,,
2,241,Date of Birth Flag,dateOfBirthFlag,,"10-20, blank",Patient,Demographic,,
3,250,Birthplace,birthplace,"Right justified, zero filled",Reference to EDITS table BPLACE.DBF in Appendix B,Patient,Demographic,,
2,252,Birthplace--State,birthplaceState,Upper case,"USPS abbreviations and CanadaPost abbreviations; also a few local codes to capture legacy definitions, including unknowns, consistent with the codes allowable for Addr at Dx--State [80].",Patient,Demographic,,
3,254,Birthplace--Country,birthplaceCountry,Upper case,"International Standards Organization (ISO) 3166-1 Country Three Character Codes; custom codes:ZZN, ZZC, ZZS, ZZP, ZZE, ZZF, ZZA, ZZX, ZZU, XNI, XCB, XEN, XSC, XGR, XSL, CSK, YUG, XUM, XNF, XSD, XWF, XSF, XEF, XIF, XET, XAP, XIS, XCR, XOR, XSE, XMS, XCH, XML, XMC, XPL. See Appendix B for complete list of country names and corresponding three character alpha codes.",Patient,Demographic,,
3,270,Census Occ Code 1970-2000,censusOccCode19702000,"Right justified, zero filled",Reference Industry and Occupation Coding for Death Certificates,Tumor,Demographic,,
4,272,Census Ind Code 2010 CDC,censusIndCode2010,"Right justified, zero filled","Valid 4 digit numbers, Blank",Tumor,Demographic,,
3,280,Census Ind Code 1970-2000,censusIndCode19702000,"Right justified, zero filled",Reference Industry and Occupation Coding for Death Certificates,Tumor,Demographic,,
4,282,Census Occ Code 2010 CDC,censusOccCode2010,"Right justified, zero filled","Valid 4-digit numbers, Blank",Tumor,Demographic,,
1,290,Occupation Source,occupationSource,,"0-3, 7-9, blank",Tumor,Demographic,,
1,300,Industry Source,industrySource,,"0-3, 7-9, blank",Tumor,Demographic,,
100,310,Text--Usual Occupation,textUsualOccupation,Free text,Neither carriage return nor line feed characters allowed,Tumor,Demographic,,
100,320,Text--Usual Industry,textUsualIndustry,Free text,Neither carriage return nor line feed characters allowed,Tumor,Demographic,,
1,330,Census Occ/Ind Sys 70-00,censusOccIndSys7000,,"1-5, 7, 9, blank",Tumor,Demographic,,
1,339,RUCA 2000,ruca2000,,"1, 2, 9",Tumor,Demographic,,
1,341,RUCA 2010,ruca2010,,"1, 2, 9",Tumor,Demographic,,
1,345,URIC 2000,uric2000,,"1-4, 9",Tumor,Demographic,,
1,346,URIC 2010,uric2010,,"1-4, 9",Tumor,Demographic,,
12,351,GeoLocationID - 1970/80/90,geolocationid19708090,,,Tumor,Demographic,,
12,352,GeoLocationID - 2000,geolocationid2000,,,Tumor,Demographic,,
12,353,GeoLocationID - 2010,geolocationid2010,,,Tumor,Demographic,,
12,354,GeoLocationID - 2020,geolocationid2020,,,Tumor,Demographic,,
1,361,Census Block Group 2020,censusBlockGroup2020,,"0-9, Blank",Tumor,Demographic,,
1,362,Census Block Group 2000,censusBlockGroup2000,,"0-9, blank",Tumor,Demographic,,
1,363,Census Block Group 2010,censusBlockGroup2010,,"0-9, blank",Tumor,Demographic,,
1,364,Census Tr Cert 1970/80/90,censusTrCert19708090,,"1-6, 9, blank",Tumor,Demographic,,
1,365,Census Tr Certainty 2000,censusTrCertainty2000,,"1-6, 9, blank",Tumor,Demographic,,
2,366,GIS Coordinate Quality,gisCoordinateQuality,"Right justified, zero filled","00-12, 98, 99, blank",Tumor,Demographic,,
1,367,Census Tr Certainty 2010,censusTrCertainty2010,,"1-6, 9, blank",Tumor,Demographic,,
1,368,Census Block Grp 1970/80/90,censusBlockGrp197090,,"0-9, blank",Tumor,Demographic,,
1,369,Census Tract Certainty 2020,censusTractCertainty2020,,"1-6, 9, Blank",Tumor,Demographic,,
2,380,Sequence Number--Central,sequenceNumberCentral,"Right justified, zero filled","00-59, 60-87, 88, 98, 99",Tumor,Cancer Identification,,
8,390,Date of Diagnosis,dateOfDiagnosis,YYYYMMDD,Valid date,Tumor,Cancer Identification,,
2,391,Date of Diagnosis Flag,dateOfDiagnosisFlag,,"10-20, blank",Tumor,Cancer Identification,,
4,400,Primary Site,primarySite,"C followed by 3 digits, no special characters, no embedded blanks",Refer to ICD-O-3 (decimals are dropped),Tumor,Cancer Identification,,
1,410,Laterality,laterality,,"0-5, 9",Tumor,Cancer Identification,,
5,419,Morph--Type&Behav ICD-O-2,morphTypebehavIcdO2,,Reference to ICD-0-2,Tumor,Cancer Identification,,
4,420,Histology (92-00) ICD-O-2,histologyIcdO2,,"8000-9989, Refer to ICD-0-2",Tumor,Cancer Identification,,
1,430,Behavior (92-00) ICD-O-2,behaviorIcdO2,,"0-3, Refer to ICD-0-2",Tumor,Cancer Identification,,
2,439,Date of Mult Tumors Flag,dateOfMultTumorsFlag,,"10-20, blank",Tumor,Cancer Identification,,
1,440,Grade,grade,,9-Jan,Tumor,Cancer Identification,,
1,441,Grade Path Value,gradePathValue,,"1-4, blank",Tumor,Cancer Identification,,
1,442,Ambiguous Terminology DX,ambiguousTerminologyDx,,"0-2, 9",Tumor,Cancer Identification,,
8,443,Date Conclusive DX,dateConclusiveDx,YYYYMMDD,Valid date,Tumor,Cancer Identification,,
2,444,Mult Tum Rpt as One Prim,multTumRptAsOnePrim,"Right justified, zero filled","00, 10-12, 20, 30-32, 40, 80, 88, 99",Tumor,Cancer Identification,,
8,445,Date of Mult Tumors,dateOfMultTumors,YYYYMMDD,Valid date,Tumor,Cancer Identification,,
2,446,Multiplicity Counter,multiplicityCounter,"Right justified, zero filled","00-89, 99, blank",Tumor,Cancer Identification,,
2,448,Date Conclusive DX Flag,dateConclusiveDxFlag,,"10-20, blank",Tumor,Cancer Identification,,
1,449,Grade Path System,gradePathSystem,,"2-4, blank",Tumor,Cancer Identification,,
1,450,Site Coding Sys--Current,siteCodingSysCurrent,,"1-6, 9",Tumor,Cancer Identification,,
1,460,Site Coding Sys--Original,siteCodingSysOriginal,,"1-6, 9",Tumor,Cancer Identification,,
1,470,Morph Coding Sys--Current,morphCodingSysCurrent,,"1-9, A, B, C",Tumor,Cancer Identification,,
1,480,Morph Coding Sys--Originl,morphCodingSysOriginl,,"1-9, A, B, C",Tumor,Cancer Identification,,
1,490,Diagnostic Confirmation,diagnosticConfirmation,,9-Jan,Tumor,Cancer Identification,,
1,500,Type of Reporting Source,typeOfReportingSource,,8-Jan,Tumor,Cancer Identification,,
2,501,Casefinding Source,casefindingSource,,"10, 20-30, 40, 50, 60, 70, 75, 80, 85, 90, 95, 99",Tumor,Cancer Identification,,
5,521,Morph--Type&Behav ICD-O-3,morphTypebehavIcdO3,,Refer to ICD-O-3,Tumor,Cancer Identification,,
4,522,Histologic Type ICD-O-3,histologicTypeIcdO3,,"8000-9989, Refer to ICD-O-3",Tumor,Cancer Identification,,
1,523,Behavior Code ICD-O-3,behaviorCodeIcdO3,,"0-3, Refer to ICD-O-3",Tumor,Cancer Identification,,
10,540,Reporting Facility,reportingFacility,"Right justified, zero filled",10-digit number,Tumor,Hospital-Specific,,
10,545,NPI--Reporting Facility,npiReportingFacility,,"10-digit NPI code (9-digit NPI integer plus 1 check digit), blank",Tumor,Hospital-Specific,,
9,550,Accession Number--Hosp,accessionNumberHosp,,9-digit number,Tumor,Hospital-Specific,,
2,560,Sequence Number--Hospital,sequenceNumberHospital,"Right justified, zero filled","00-59, 60-87, 88, 99",Tumor,Hospital-Specific,,
3,570,Abstracted By,abstractedBy,No special characters,Letters and numbers,Tumor,Hospital-Specific,,
8,580,Date of 1st Contact,dateOf1stContact,YYYYMMDD,Valid dates,Tumor,Hospital-Specific,,
2,581,Date of 1st Contact Flag,dateOf1stContactFlag,,"10-20, blank",Tumor,Hospital-Specific,,
8,590,Date of Inpt Adm,dateOfInptAdm,YYYYMMDD,Valid dates,Tumor,Hospital-Specific,,
2,591,Date of Inpt Adm Flag,dateOfInptAdmFlag,,"10-20, blank",Tumor,Hospital-Specific,,
8,600,Date of Inpt Disch,dateOfInptDisch,YYYYMMDD,Valid dates,Tumor,Hospital-Specific,,
2,601,Date of Inpt Disch Flag,dateOfInptDischFlag,,"10-20, blank",Tumor,Hospital-Specific,,
1,605,Inpatient Status,inpatientStatus,,"0,1,9, blank",Tumor,Hospital-Specific,,
2,610,Class of Case,classOfCase,"Right justified, zero filled","00, 10-14, 20-22, 30-38, 40-43, 49, 99",Tumor,Hospital-Specific,,
2,630,Primary Payer at DX,primaryPayerAtDx,"Right justified, zero filled","01, 02, 10, 20, 21, 31, 35, 60-68, 99",Tumor,Hospital-Specific,,
1,668,RX Hosp--Surg App 2010,rxHospSurgApp2010,,"0-5, 9",Tumor,Hospital-Specific,,
2,670,RX Hosp--Surg Prim Site,rxHospSurgPrimSite,"Right justified, zero filled","00, 10-80, 90, 98, 99 (site-specific)",Tumor,Hospital-Specific,,
1,672,RX Hosp--Scope Reg LN Sur,rxHospScopeRegLnSur,,"0-7, 9",Tumor,Hospital-Specific,,
1,674,RX Hosp--Surg Oth Reg/Dis,rxHospSurgOthRegDis,,"0-5, 9",Tumor,Hospital-Specific,,
2,676,RX Hosp--Reg LN Removed,rxHospRegLnRemoved,"Right justified, zero filled","00-90, 95-99",Tumor,Hospital-Specific,,
8,682,Date Regional Lymph Node Dissection,dateRegionalLNDissection,YYYYMMDD,Valid dates,Tumor,Stage/Prognostic Factors,,
2,683,Date Regional Lymph Node Dissection Flag,dateRegionalLNDissectionFlag,,"10-12, Blank",Tumor,Stage/Prognostic Factors,,
1,690,RX Hosp--Radiation,rxHospRadiation,,"0-5, 9",Tumor,Hospital-Specific,,
2,700,RX Hosp--Chemo,rxHospChemo,"Right justified, zero filled","00-03, 82, 85-88, 99",Tumor,Hospital-Specific,,
2,710,RX Hosp--Hormone,rxHospHormone,"Right justified, zero filled","00, 01, 82, 85-88, 99",Tumor,Hospital-Specific,,
2,720,RX Hosp--BRM,rxHospBrm,"Right justified, zero filled","00, 01, 82, 85-88, 99",Tumor,Hospital-Specific,,
1,730,RX Hosp--Other,rxHospOther,,"0-3, 6-9",Tumor,Hospital-Specific,,
2,740,RX Hosp--DX/Stg Proc,rxHospDxStgProc,"Right justified, zero filled","00-07, 09",Tumor,Hospital-Specific,,
2,746,RX Hosp--Surg Site 98-02,rxHospSurgSite9802,"Right justified, zero filled","00, 10-90, 99 (site-specific), blank",Tumor,Hospital-Specific,,
1,747,RX Hosp--Scope Reg 98-02,rxHospScopeReg9802,,"0-9 (site-specific), blank",Tumor,Hospital-Specific,,
1,748,RX Hosp--Surg Oth 98-02,rxHospSurgOth9802,,"0-9 (site-specific), blank",Tumor,Hospital-Specific,,
3,752,Tumor Size Clinical,tumorSizeClinical,,"000-990, 998, 999",Tumor,Stage/Prognostic Factors,,
3,754,Tumor Size Pathologic,tumorSizePathologic,,"000-990, 998, 999",Tumor,Stage/Prognostic Factors,,
3,756,Tumor Size Summary,tumorSizeSummary,,"000-990, 998, 999",Tumor,Stage/Prognostic Factors,,
1,759,SEER Summary Stage 2000,seerSummaryStage2000,,"0-5, 7, 8, 9",Tumor,Stage/Prognostic Factors,,
1,760,SEER Summary Stage 1977,seerSummaryStage1977,,"0-5, 7, 8, 9",Tumor,Stage/Prognostic Factors,,
1,762,Derived Summary Stage 2018,derivedSummaryStage2018,,"0-4, 7-9",Tumor,Stage/Prognostic Factors,,
1,764,Summary Stage 2018,summaryStage2018,,"0-4, 7-9",Tumor,Stage/Prognostic Factors,,
3,772,EOD Primary Tumor,eodPrimaryTumor,,"Valid schema-specific codes; also 000, 800, 999",Tumor,Stage/Prognostic Factors,,
3,774,EOD Regional Nodes,eodRegionalNodes,,"Valid schema-specific codes; also 000, 800, 888, 999",Tumor,Stage/Prognostic Factors,,
2,776,EOD Mets,eodMets,,"Valid schema-specific codes; also 00, 88, 99",Tumor,Stage/Prognostic Factors,,
12,779,Extent of Disease 10-Dig,extentOfDisease10Dig,,,Tumor,Stage/Prognostic Factors,,
3,780,EOD--Tumor Size,eodTumorSize,"Right justified, zero filled",See respective source references,Tumor,Stage/Prognostic Factors,,
15,785,Derived EOD 2018 T,derivedEod2018T,,,Tumor,Stage/Prognostic Factors,,
2,790,EOD--Extension,eodExtension,"Right justified, zero filled",Reference SEER Extent of Disease manual,Tumor,Stage/Prognostic Factors,,
15,795,Derived EOD 2018 M,derivedEod2018M,,,Tumor,Stage/Prognostic Factors,,
2,800,EOD--Extension Prost Path,eodExtensionProstPath,"Right justified, zero filled",Reference SEER Extent of Disease manual,Tumor,Stage/Prognostic Factors,,
1,810,EOD--Lymph Node Involv,eodLymphNodeInvolv,,Reference SEER Extent of Disease manual,Tumor,Stage/Prognostic Factors,,
15,815,Derived EOD 2018 N,derivedEod2018N,,,Tumor,Stage/Prognostic Factors,,
15,818,Derived EOD 2018 Stage Group,derivedEod2018StageGroup,,,Tumor,Stage/Prognostic Factors,,
2,820,Regional Nodes Positive,regionalNodesPositive,"Right justified, zero filled","00-90, 95, 97-99",Tumor,Stage/Prognostic Factors,,
2,830,Regional Nodes Examined,regionalNodesExamined,"Right justified, zero filled","00-90, 95-99",Tumor,Stage/Prognostic Factors,,
8,832,Date of Sentinel Lymph Node Biopsy,dateSentinelLymphNodeBiopsy,YYYYMMDD,Valid dates,Tumor,Stage/Prognostic Factors,,
2,833,Date of Sentinel Lymph Node Biopsy Flag,dateSentinelLymphNodeBiopsyFlag,,"10-12, Blank",Tumor,Stage/Prognostic Factors,,
2,834,Sentinel Lymph Nodes Examined,sentinelLymphNodesExamined,"Right justified, zero filled","00-90, 95, 98, 99",Tumor,Stage/Prognostic Factors,,
2,835,Sentinel Lymph Nodes Positive,sentinelLymphNodesPositive,"Right justified, zero filled","00-90, 95, 97-99",Tumor,Stage/Prognostic Factors,,
13,840,EOD--Old 13 Digit,eodOld13Digit,Numeric and special characters,,Tumor,Stage/Prognostic Factors,,
2,850,EOD--Old 2 Digit,eodOld2Digit,"Numeric plus special characters ""&"" and ""dash"" (""-"")",,Tumor,Stage/Prognostic Factors,,
4,860,EOD--Old 4 Digit,eodOld4Digit,,,Tumor,Stage/Prognostic Factors,,
1,870,Coding System for EOD,codingSystemForEod,,"0-4, Blank",Tumor,Stage/Prognostic Factors,,
4,880,TNM Path T,tnmPathT,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS manual; also 88, blank",Tumor,Stage/Prognostic Factors,,
4,890,TNM Path N,tnmPathN,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS manual; also 88, blank",Tumor,Stage/Prognostic Factors,,
4,900,TNM Path M,tnmPathM,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",Tumor,Stage/Prognostic Factors,,
4,910,TNM Path Stage Group,tnmPathStageGroup,"Upper case, alphanumeric. Convert AJCC Roman numerals to Arabic numerals. Left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, 99",Tumor,Stage/Prognostic Factors,,
1,920,TNM Path Descriptor,tnmPathDescriptor,,"0-6, 9, blank",Tumor,Stage/Prognostic Factors,,
2,930,TNM Path Staged By,tnmPathStagedBy,,"00, 10-15, 20, 30, 40, 50, 60, 88, 99",Tumor,Stage/Prognostic Factors,,
4,940,TNM Clin T,tnmClinT,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",Tumor,Stage/Prognostic Factors,,
4,950,TNM Clin N,tnmClinN,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",Tumor,Stage/Prognostic Factors,,
4,960,TNM Clin M,tnmClinM,"Upper case, alphanumeric, left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, blank",Tumor,Stage/Prognostic Factors,,
4,970,TNM Clin Stage Group,tnmClinStageGroup,"Upper case, alphanumeric. Convert AJCC Roman numerals to Arabic numerals. Left justified, blank filled","See AJCC Cancer Staging Manual and FORDS Manual; also 88, 99",Tumor,Stage/Prognostic Factors,,
1,980,TNM Clin Descriptor,tnmClinDescriptor,,"0-3, 5, 9, blank",Tumor,Stage/Prognostic Factors,,
2,990,TNM Clin Staged By,tnmClinStagedBy,,"00, 10-15, 20, 30, 40, 50, 60, 88, 99",Tumor,Stage/Prognostic Factors,,
4,995,AJCC ID,ajccId,,,Tumor,Stage/Prognostic Factors,,
15,1001,AJCC TNM Clin T,ajccTnmClinT,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Tumor,Stage/Prognostic Factors,,
15,1002,AJCC TNM Clin N,ajccTnmClinN,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Tumor,Stage/Prognostic Factors,,
15,1003,AJCC TNM Clin M,ajccTnmClinM,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Tumor,Stage/Prognostic Factors,,
15,1004,AJCC TNM Clin Stage Group,ajccTnmClinStageGroup,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",Tumor,Stage/Prognostic Factors,,
15,1011,AJCC TNM Path T,ajccTnmPathT,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Tumor,Stage/Prognostic Factors,,
15,1012,AJCC TNM Path N,ajccTnmPathN,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Tumor,Stage/Prognostic Factors,,
15,1013,AJCC TNM Path M,ajccTnmPathM,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Tumor,Stage/Prognostic Factors,,
15,1014,AJCC TNM Path Stage Group,ajccTnmPathStageGroup,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",Tumor,Stage/Prognostic Factors,,
15,1021,AJCC TNM Post Therapy Path (yp) T,ajccTnmPostTherapyT,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Tumor,Stage/Prognostic Factors,,
15,1022,AJCC TNM Post Therapy Path (yp) N,ajccTnmPostTherapyN,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Tumor,Stage/Prognostic Factors,,
15,1023,AJCC TNM Post Therapy Path (yp) M,ajccTnmPostTherapyM,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, Blank",Tumor,Stage/Prognostic Factors,,
15,1024,AJCC TNM Post Therapy Path (yp) Stage Group,ajccTnmPostTherapyStageGroup,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also 88, 99",Tumor,Stage/Prognostic Factors,,
4,1031,AJCC TNM Clin T Suffix,ajccTnmClinTSuffix,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (m), (s), blank",Tumor,Stage/Prognostic Factors,,
4,1032,AJCC TNM Path T Suffix,ajccTnmPathTSuffix,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (m), (s), Blank",Tumor,Stage/Prognostic Factors,,
4,1033,AJCC TNM Post Therapy Path (yp) T Suffix,ajccTnmPostTherapyTSuffix,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (m),(s), Blank",Tumor,Stage/Prognostic Factors,,
4,1034,AJCC TNM Clin N Suffix,ajccTnmClinNSuffix,Left justified,"See the AJCC Cancer Staging Manual for valid codes; also (sn), (f), Blank",Tumor,Stage/Prognostic Factors,,
4,1035,AJCC TNM Path N Suffix,ajccTnmPathNSuffix,Left justified,"(sn), (f), Blank",Tumor,Stage/Prognostic Factors,,
4,1036,AJCC TNM Post Therapy Path (yp) N Suffix,ajccTnmPostTherapyNSuffix,Left justified,"(sn), (f), Blank",Tumor,Stage/Prognostic Factors,,
2,1060,TNM Edition Number,tnmEditionNumber,"Right justified, zero filled","00-09, 88, 99",Tumor,Stage/Prognostic Factors,,
15,1062,AJCC TNM Post Therapy Clin (yc) T,ajccTnmPostTherapyClinT,,"Those published in the AJCC Cancer Staging Manual, 88, blank",Tumor,Stage/Prognostic Factors,,
4,1063,AJCC TNM Post Therapy Clin (yc) T Suffix,ajccTnmPostTherapyClinTSuffix,,"(m), (s), blank",Tumor,Stage/Prognostic Factors,,
15,1064,AJCC TNM Post Therapy Clin (yc) N,ajccTnmPostTherapyClinN,,"In addition to those published in the AJCC Cancer Staging Manual: 88, Blank",Tumor,Stage/Prognostic Factors,,
4,1065,AJCC TNM Post Therapy Clin (yc) N Suffix,ajccTnmPostTherapyClinNSuffix,,"(sn), (f), Blank",Tumor,Stage/Prognostic Factors,,
15,1066,AJCC TNM Post Therapy Clin (yc) M,ajccTnmPostTherapyClinM,,"Those published in the AJCC Cancer Staging Manual, 88, Blank",Tumor,Stage/Prognostic Factors,,
15,1067,AJCC TNM Post Therapy Clin (yc) Stage Group,ajccTnmPostTherapyClinStageGrp,,"Those published in the AJCC Cancer Staging Manual, 88, Blank",Tumor,Stage/Prognostic Factors,,
